Bus1,Bus2,R,X,B,RateA,RateB,RateC,ratio,angle,status,angmin,angmax
22,25,0.00034,0.0041,0.429,3275,3275,3275,0,0,1,-360,360
22,21,0.00019,0.00111,0.1232,2780,2780,2780,0,0,1,-360,360
22,21,0.00048,0.0061,0.3041,2780,2780,2780,0,0,1,-360,360
23,29,0.00151,0.0182,0.53,2010,2010,2010,0,0,1,-360,360
23,24,0.00086,0.0008,0.9622,2780,2780,2780,0,0,1,-360,360
23,24,0.00023,0.0007,2.8447,4400,4400,4400,0,0,1,-360,360
23,22,0.00055,0.003,0.3468,2780,2780,2780,0,0,1,-360,360
23,22,0.00039,0.003,0.2466,2770,2770,2770,0,0,1,-360,360
23,29,0.00151,0.0182,0.53,2010,2010,2010,0,0,1,-360,360
24,28,0.00068,0.007,0.2388,2210,2210,2210,0,0,1,-360,360
24,25,0.00104,0.0091,0.2918,1390,1390,1390,0,0,1,-360,360
24,25,0.00104,0.0091,0.2918,1390,1390,1390,0,0,1,-360,360
24,28,0.00068,0.007,0.2388,2210,2210,2210,0,0,1,-360,360
25,26,0.0002,0.0057,0.532,6960,6960,6960,0,0,1,-360,360
25,26,0.0002,0.0057,0.532,5540,5540,5540,0,0,1,-360,360
27,26,0.0002,0.00503,0.1797,3100,3100,3100,0,0,1,-360,360
27,26,0.0002,0.00503,0.1797,3100,3100,3100,0,0,1,-360,360
28,27,0.00038,0.00711,0.2998,3070,3070,3070,0,0,1,-360,360
28,27,0.00038,0.00711,0.2998,3070,3070,3070,0,0,1,-360,360
29,28,0.00051,0.00796,0.34,2780,2780,2780,0,0,1,-360,360
29,28,0.00051,0.00796,0.34,2780,2780,2780,0,0,1,-360,360
3,4,0.003,0.041,0.0044,648,648,648,0,0,1,-360,360
3,4,0.003,0.041,0.044,648,648,648,0,0,1,-360,360
3,2,0.03004,0.077,0.0124,652,652,652,0,0,1,-360,360
