t,Dt,Pt,TCAP
t74,6241.672372,1.916555866,1500
t75,6037.215118,1.665259915,1500
t76,6766.762145,1.552285962,1500
t77,5393.576704,1.254212767,1500
t78,5799.565129,1.878693198,1500
t79,5809.761708,2.445642162,1500
t80,6432.926074,1.554768048,1500
t81,7058.395383,2.147532784,1500
t82,5919.14786,1.885930351,1500
t83,5790.777498,1.128496422,1500
t84,5918.327343,2.317978146,1500
t85,6486.464412,0.654791117,1500
t86,6593.576512,2.004265769,1500
t87,6451.283466,1.407758535,1500
t88,6129.482015,1.481073149,1500
t89,5900.629605,1.612337078,1500
t90,5563.820208,1.572592055,1500
t91,6876.694621,2.187326504,1500
t92,6101.629918,2.179114036,1500
t93,4861.615776,1.933429015,1500
t94,5413.068261,1.158179546,1500
t95,6902.77942,1.599643564,1500
t96,5204.210621,2.044079075,1500
t97,5343.504987,1.369048421,1500
t98,6631.096427,0.98209201,1500
t99,6143.363852,1.29088027,1500
t100,6390.357751,1.349442641,1500
t101,5626.068018,1.698119283,1500
t102,5863.754309,1.869463214,1500
t103,5623.159326,1.513737849,1500
t104,6097.012193,2.486819394,1500
t105,5262.29357,2.006629458,1500
t106,5844.782934,1.716503392,1500
t107,6216.773636,1.447159516,1500
t108,6227.180783,1.803106537,1500
t109,5465.858577,2.320185202,1500
t110,6723.884361,1.65615356,1500
t111,6483.9389,2.237169456,1500
t112,6314.83955,1.912567467,1500
t113,6571.678075,1.599627741,1500
t114,5889.497488,1.489136804,1500
t115,5826.132431,1.111643167,1500
t116,6077.416946,1.17179987,1500
t117,5675.153067,1.095143142,1500
t118,6721.022582,1.965600145,1500
t119,5732.12684,1.783511045,1500
t120,6233.905661,2.007105031,1500
t121,6401.409705,1.964572467,1500
t122,5609.127625,1.596257141,1500
t123,6630.073765,1.304930552,1500
t124,5356.799965,1.477792767,1500
t125,6588.672698,2.138032582,1500
t126,6220.761196,1.115082728,1500
t127,5216.458711,1.440564275,1500
t128,5893.189001,1.421032997,1500
t129,5859.943715,1.742539295,1500
t130,6299.979027,1.685277541,1500
t131,5855.61886,2.08881325,1500
t132,6801.847806,2.031378135,1500
t133,6561.440199,1.874930916,1500
t134,5689.654285,1.202513012,1500
t135,5544.244674,1.99542347,1500
t136,5755.34544,1.415542476,1500
t137,5795.850041,2.005803449,1500
t138,5909.111276,1.614573778,1500
t139,5318.535678,0.978079604,1500
t140,5578.148255,2.301809486,1500
t141,5880.802472,2.022494866,1500
t142,5614.747727,1.571711004,1500
t143,5467.753929,2.056411389,1500
t144,5603.735614,1.342985143,1500
t145,6683.180648,1.684825047,1500
t146,6404.533448,1.618408292,1500
t147,5115.969687,1.412616952,1500
t148,5738.760356,1.737936807,1500
t149,5317.281354,1.906770617,1500
t150,6218.999432,2.440856705,1500
t151,6660.365073,2.140995854,1500
t152,6233.29905,2.294647577,1500
t153,5926.051047,1.678412198,1500
t154,5749.369119,1.812817857,1500
t155,6757.06848,1.348026189,1500
t156,6208.024871,1.831737647,1500
t157,6026.599065,1.936506994,1500
t158,5505.677309,1.097330683,1500
t159,6133.846776,1.024720191,1500
t160,4683.868177,2.961514525,1500
t161,6456.649168,1.900176551,1500
t162,5399.931349,1.935019787,1500
t163,5953.20979,2.145851167,1500
t164,6618.810526,2.271643875,1500
t165,5727.641713,1.335535862,1500
t166,6788.494979,1.873296756,1500
t167,6007.718344,2.819015793,1500
t168,5601.253372,1.28339562,1500
t169,5418.034611,2.046818211,1500
t170,6342.49384,1.644615979,1500
t171,6972.187049,1.154552359,1500
t172,6254.487664,0.992011795,1500
t173,5595.506964,1.895414944,1500
t174,5401.028702,1.830912841,1500
t175,5824.50567,1.236898786,1500
t176,6310.921386,2.166744606,1500
t177,5895.692656,1.691891546,1500
t178,6675.851928,2.142742944,1500
t179,5497.232679,1.536818003,1500
t180,7169.709032,2.339857148,1500
t181,6718.170939,1.942501671,1500
t182,5889.81546,1.636204415,1500
t183,5898.654396,1.501196152,1500
t184,5562.227938,1.426489272,1500
t185,5582.817936,2.543336563,1500
t186,6087.408622,1.268985337,1500
t187,5421.652212,1.732631341,1500
t188,6321.501608,2.418339833,1500
t189,5187.561834,1.860605187,1500
t190,5752.033542,2.209027167,1500
t191,6579.97932,1.040682479,1500
t192,6371.329709,1.085833497,1500
t193,5781.242221,1.367813837,1500
t194,5928.745357,2.011962949,1500
t195,6383.22924,1.632918514,1500
t196,5470.171677,1.511192576,1500
t197,6106.775775,1.832898725,1500
t198,5792.744831,1.91558041,1500
t199,5967.081105,1.651864065,1500
t200,5189.021554,1.808968647,1500
t201,6544.325609,1.950787618,1500
t202,6218.561663,1.816955509,1500
t203,6027.481943,0.897770198,1500
t204,6655.785353,1.505478576,1500
t205,5986.132305,1.412953904,1500
t206,6506.132021,1.553115477,1500
t207,6075.274615,1.961933263,1500
t208,7409.147005,1.758545754,1500
t209,7443.58825,1.439202995,1500
t210,6015.838727,1.019250717,1500
t211,6246.267141,1.565205097,1500
t212,6155.01192,1.61079296,1500
t213,5622.465439,1.927952104,1500
t214,6288.385117,1.106256577,1500
t215,5601.046385,1.634354813,1500
t216,6524.521215,1.688176526,1500
t217,5408.628268,1.321269842,1500
t218,6165.87147,1.644668132,1500
t219,5597.14954,1.783318651,1500
t220,6125.481436,1.663858014,1500
t221,6725.260588,1.631744284,1500
t222,4732.480309,0.952645124,1500
t223,6048.743046,2.173931992,1500
t224,5864.198686,2.321663326,1500
t225,6371.279722,1.427521828,1500
t226,5650.106167,1.835012495,1500
t227,5990.572334,2.056483574,1500
t228,5004.386136,1.668538903,1500
t229,5299.225276,2.064426735,1500
t230,5482.891463,1.711500189,1500
t231,6229.120546,1.689079005,1500
t232,6083.737922,1.876748227,1500
t233,6054.695677,2.149998575,1500
t234,6151.049352,1.749067605,1500
t235,6050.899885,2.00150005,1500
t236,5306.93636,0.873766363,1500
t237,5799.747067,1.651928722,1500
t238,5478.874393,1.568622143,1500
t239,6311.050515,1.974934891,1500
t240,5936.75509,1.618314332,1500
t241,6136.842976,1.891097198,1500
t242,7066.689224,1.16907495,1500
t243,5139.573034,1.50177307,1500
t244,5660.385749,1.519150331,1500
t245,6075.351114,1.50365528,1500
t246,6811.42662,1.544461272,1500
t247,5724.475503,2.110146022,1500
t248,5788.655922,1.881767346,1500
t249,7037.022263,1.13151312,1500
t250,5700.410677,2.494887155,1500
t251,5969.195373,1.191419469,1500
t252,6907.159662,1.929076169,1500
t253,6524.810234,1.22397985,1500
t254,5616.543281,1.784693693,1500
t255,5662.519539,1.456677923,1500
t256,7071.17612,2.320512441,1500
t257,5497.561212,1.777036773,1500
t258,6631.419233,1.638744783,1500
t259,5232.188217,1.66600698,1500
t260,5077.978879,1.650253115,1500
t261,6735.430422,1.353316496,1500
t262,6012.450999,1.463262012,1500
t263,5510.274403,1.89648746,1500
t264,4440.035551,1.226215873,1500
t265,6744.649368,1.942351971,1500
t266,6107.963142,1.607339813,1500
t267,6076.013042,2.175777076,1500
t268,6039.513749,2.195284514,1500
t269,6853.835425,1.461219378,1500
t270,4971.675197,1.086114151,1500
t271,6459.161283,1.610905215,1500
t272,5896.265125,1.625753141,1500
t273,5859.964454,1.297188148,1500
t274,6817.837404,1.386415719,1500
t275,5494.498573,1.09100927,1500
t276,6236.01848,2.068824709,1500
t277,5847.807056,1.692268086,1500
t278,6373.243434,1.526941223,1500
t279,6166.312419,1.845250615,1500
t280,6354.031846,2.009943033,1500
t281,6770.586028,2.107547154,1500
t282,5179.497925,1.148625362,1500
t283,6252.537207,1.625708463,1500
t284,5278.064575,1.680961622,1500
t285,6206.500678,1.211180396,1500
t286,5537.380249,1.857323941,1500
t287,4969.701444,1.530116821,1500
t288,5937.712429,1.367575041,1500
t289,6234.874148,1.915635277,1500
t290,5962.230629,1.700124415,1500
t291,5580.155853,1.737668419,1500
t292,5384.480068,1.351304462,1500
t293,5317.287042,1.023664005,1500
t294,6828.010181,0.871602911,1500
t295,6408.531691,0.9754855,1500
t296,5994.749946,1.533622366,1500
t297,6056.775123,1.486310313,1500
t298,5904.562383,1.815401393,1500
t299,5535.47489,1.678566987,1500
t300,5365.032425,2.403859761,1500
t301,6097.59152,1.867314532,1500
t302,6304.07624,1.445433477,1500
t303,5824.41708,1.568990688,1500
t304,5740.786054,2.826046716,1500
t305,6531.925031,1.913676066,1500
t306,6408.653027,1.366752866,1500
t307,6864.086189,1.320867547,1500
t308,6164.643687,1.35606398,1500
t309,6253.611835,1.692881271,1500
t310,5691.558385,1.720529361,1500
t311,5842.472978,2.510152371,1500
t312,5638.658849,2.104007922,1500
t313,5386.510916,1.151835827,1500
t314,6199.838053,1.164598545,1500
t315,6068.42653,1.522620849,1500
t316,5384.590193,1.960016838,1500
t317,6480.498916,1.410510119,1500
t318,6143.926956,1.734558981,1500
t319,6828.291643,1.790470933,1500
t320,6403.385826,1.822392996,1500
t321,6576.004286,1.693958605,1500
t322,5696.585908,1.825184165,1500
t323,6635.897104,1.546974379,1500
t324,6435.504764,1.133397551,1500
t325,6117.205788,1.834406716,1500
t326,5954.048095,2.269556326,1500
t327,6073.445354,1.468213211,1500
t328,5856.474602,1.948977824,1500
t329,5706.110242,2.243800882,1500
t330,6022.609082,2.443222202,1500
t331,5531.024347,1.937013635,1500
t332,5565.395343,1.55933318,1500
t333,6025.731831,1.283552945,1500
t334,5706.142983,2.19149376,1500
t335,6039.523961,2.516303451,1500
t336,6166.885698,1.994602241,1500
t337,5353.507905,2.428548547,1500
t338,6285.841055,1.476116972,1500
t339,6342.872823,0.7030066,1500
t340,6280.909983,1.936758576,1500
t341,6193.241123,1.655905142,1500
t342,5901.854639,1.754434837,1500
t343,6027.902047,0.691329664,1500
t344,6315.626374,1.840243221,1500
t345,6084.766084,1.674648316,1500
t346,6403.904145,1.373117826,1500
t347,6274.674148,1.652677986,1500
t348,5983.70837,2.087181277,1500
t349,6128.93585,1.616529624,1500
t350,5963.079287,1.357824702,1500
t351,6578.711352,2.119344792,1500
t352,6497.288752,1.607371057,1500
t353,5802.308179,1.689562823,1500
t354,5882.486888,1.715129656,1500
t355,6346.591076,2.402278745,1500
t356,6626.503028,2.501506742,1500
t357,5015.736615,2.023935455,1500
t358,5204.901527,1.244462147,1500
t359,5637.468207,1.6768376,1500
t360,6532.907507,1.225685309,1500
t361,5086.401252,1.98678357,1500
t362,5554.589551,2.840008889,1500
t363,6398.077462,1.990749882,1500
t364,4747.332858,2.778978838,1500
t365,7029.626324,2.654762605,1500
t366,6570.458394,1.838645429,1500
t367,6326.818955,2.82824533,1500
t368,5504.980392,2.554936241,1500
t369,5756.960364,1.611834193,1500
t370,6214.06056,1.694854827,1500
t371,5646.429621,1.474722508,1500
t372,6139.429522,1.899636927,1500
t373,5330.317094,1.456865484,1500
t374,6600.255086,2.520198879,1500
t375,5775.422621,1.79997041,1500
t376,5550.193929,1.725830488,1500
t377,6369.907236,1.567010137,1500
t378,7107.746358,2.386573436,1500
t379,6942.270404,1.388759333,1500
t380,5464.060899,1.485621509,1500
t381,6136.489678,1.586192135,1500
t382,6118.67312,1.796391416,1500
t383,5884.984796,2.163134418,1500
t384,5817.562714,2.053756916,1500
t385,5588.035494,2.269378838,1500
t386,6170.861569,1.983883222,1500
t387,5871.153964,1.431558901,1500
t388,6304.943825,2.077461946,1500
t389,5486.676851,2.094957701,1500
t390,6571.274839,1.915529899,1500
t391,6457.858025,1.451063038,1500
t392,6951.361805,1.558459665,1500
t393,5946.993184,2.363122768,1500
t394,5726.018267,1.542300938,1500
t395,6365.319037,2.011706903,1500
t396,6767.346098,1.40923676,1500
t397,5790.116952,2.71148564,1500
t398,6248.288897,2.185942744,1500
t399,5510.623686,2.274550856,1500
t400,5590.062964,1.895862088,1500
t401,5430.178322,1.0363827,1500
t402,7242.733559,1.912774097,1500
t403,7033.250272,1.839711779,1500
t404,5752.287236,1.733510999,1500
t405,5826.850116,1.697396305,1500
t406,6457.990965,1.936676522,1500
t407,6287.203446,1.893519922,1500
t408,5642.131069,1.989910679,1500
t409,6201.770475,1.622770741,1500
t410,6506.958799,2.080692995,1500
t411,5782.317352,2.080753075,1500
t412,6075.187331,1.641622382,1500
t413,6506.598465,2.064930717,1500
t414,6295.795676,1.858123506,1500
t415,5562.895568,1.745168795,1500
t416,6146.530598,1.916067597,1500
t417,5346.992153,1.708263068,1500
t418,6772.532327,1.056201357,1500
t419,6121.551564,2.023385415,1500
t420,5581.252973,1.293463843,1500
t421,6138.757353,1.549477385,1500
t422,6433.662666,1.364610406,1500
t423,6476.569391,2.436070241,1500
t424,5750.024113,1.136371998,1500
t425,5621.740856,1.638990066,1500
t426,5086.154311,2.056065237,1500
t427,5934.74573,2.490833997,1500
t428,6621.825758,1.55019179,1500
t429,6710.144866,1.803058401,1500
t430,6580.090822,1.088690644,1500
t431,6064.293295,1.076091777,1500
t432,6140.422713,1.916845864,1500
t433,6123.814952,2.101016974,1500
t434,6003.076909,1.773262075,1500
t435,6124.587896,1.342935335,1500
t436,5216.909424,1.665416909,1500
t437,5797.186374,2.106372045,1500
t438,6734.940435,2.361358404,1500
t439,5467.435116,1.568657082,1500
t440,5308.285166,1.790628803,1500
t441,4979.962616,1.649288859,1500
t442,6830.773995,2.169327262,1500
t443,6609.601648,2.000564458,1500
t444,5574.199819,1.768292873,1500
t445,6937.539761,1.36113561,1500
t446,5887.870098,2.443337414,1500
t447,6211.648375,1.808167384,1500
t448,5741.927881,1.693054788,1500
t449,5319.298269,1.590573999,1500
t450,5802.791856,1.23518839,1500
t451,6255.94472,1.524312039,1500
t452,6448.114829,1.571728599,1500
t453,5549.843484,1.379422134,1500
t454,6002.03698,1.242384433,1500
t455,6024.869579,2.140790056,1500
t456,5897.500721,1.959329741,1500
t457,5452.114371,2.056953249,1500
t458,6000.12731,2.314493335,1500
t459,5469.736422,1.013236427,1500
t460,5363.292588,1.890010492,1500
t461,5589.209019,1.881733507,1500
t462,5725.222137,1.934512573,1500
t463,6040.918947,2.251935635,1500
t464,5930.930041,1.718662825,1500
t465,6355.61379,2.071435541,1500
t466,5763.029631,1.962860389,1500
t467,6305.680303,2.588660179,1500
t468,6483.640825,2.250622207,1500
t469,5885.989034,1.584909217,1500
t470,6056.027667,2.087045534,1500
t471,6024.891429,1.915484252,1500
t472,5172.204271,1.487293644,1500
t473,5549.071359,1.733495571,1500
t474,6061.931154,1.277218504,1500
t475,5765.099919,2.044370513,1500
t476,5749.398473,1.895930393,1500
t477,5888.269096,2.459203357,1500
t478,6458.251219,1.914740807,1500
t479,6667.292541,1.86660361,1500
t480,5591.185496,1.974972264,1500
t481,5815.586718,1.678314517,1500
t482,6123.29611,2.191347452,1500
t483,5670.332154,1.643738726,1500
t484,5118.642961,2.265042237,1500
t485,5943.387286,2.719521485,1500
t486,5795.88386,1.445907094,1500
t487,6005.301076,2.190107394,1500
t488,6394.275741,2.119590588,1500
t489,6444.93653,2.155456622,1500
t490,6004.884056,2.286158572,1500
t491,5178.437387,1.741439738,1500
t492,6280.41775,1.852162068,1500
t493,5713.219372,1.543722983,1500
t494,6448.99097,0.952181792,1500
t495,5812.22783,2.132767851,1500
t496,5806.795698,1.663169447,1500
t497,6226.717285,1.893436537,1500
t498,5602.03459,1.720029637,1500
t499,6067.763123,1.729932839,1500
t500,5984.143499,1.62903987,1500
t501,6243.423221,1.963903883,1500
t502,5818.477294,1.416548485,1500
t503,6298.62693,2.160291613,1500
t504,5869.780097,1.404513821,1500
t505,5427.658381,1.312958544,1500
t506,5843.122791,1.715899549,1500
t507,6073.305081,1.600819126,1500
t508,5773.963626,1.62009817,1500
t509,5882.685452,1.959564374,1500
t510,5729.344317,1.084655351,1500
t511,4749.43214,1.596768961,1500
t512,5799.767658,1.656255942,1500
t513,5281.784476,1.288401072,1500
t514,5900.70682,1.507163627,1500
t515,7032.49215,1.360376807,1500
t516,5414.552604,1.478891906,1500
t517,5633.911396,1.209633367,1500
t518,6176.171661,2.074626681,1500
t519,6054.225404,1.446641603,1500
t520,6829.962061,1.646717141,1500
t521,5431.674731,1.466687662,1500
t522,5907.98057,2.479092234,1500
t523,4863.484675,1.892349148,1500
t524,6522.101651,1.122518533,1500
t525,5310.764491,1.612198342,1500
t526,5669.409022,1.723147736,1500
t527,5328.966471,1.823049448,1500
t528,6750.549476,1.28900729,1500
t529,6004.683465,2.383637534,1500
t530,6500.620856,1.57795078,1500
t531,5835.467203,1.649376926,1500
t532,5775.116347,2.108817562,1500
t533,5642.782833,1.914009844,1500
t534,6389.046223,1.764516493,1500
t535,5577.205094,2.200495055,1500
t536,6342.163151,1.855777154,1500
t537,6324.928415,1.718567135,1500
t538,5720.698855,2.132410162,1500
t539,6323.066757,1.391302023,1500
t540,5560.990171,1.562442435,1500
t541,6641.856741,1.614504476,1500
t542,5944.217067,1.958345942,1500
t543,5705.048916,2.253408482,1500
t544,5856.322447,2.403401689,1500
t545,5691.163651,2.530929801,1500
t546,6243.295914,1.563965811,1500
t547,5552.43834,1.733318794,1500
t548,5743.006634,1.296312339,1500
t549,5595.909544,1.476096894,1500
t550,5821.684896,1.509731978,1500
t551,5636.302239,2.359801501,1500
t552,5580.142921,2.362868179,1500
t553,5095.961979,1.755762749,1500
t554,6111.937811,1.914506656,1500
t555,6654.346107,1.849930688,1500
t556,5957.823402,1.773839178,1500
t557,6226.906622,1.578101216,1500
t558,6156.782052,1.510092607,1500
t559,4990.742322,1.693940937,1500
t560,5306.421328,1.938595231,1500
t561,5469.803731,2.208926209,1500
t562,5747.845876,1.471600425,1500
t563,6484.405756,1.433937077,1500
t564,7018.596085,1.494565726,1500
t565,5825.054369,1.36118293,1500
t566,5992.103404,1.613636767,1500
t567,6251.16708,2.243149451,1500
t568,5243.839145,1.480037962,1500
t569,6730.071015,2.105325534,1500
t570,6350.127713,1.627475824,1500
t571,5923.040432,1.652265496,1500
t572,6835.324381,2.164272589,1500
t573,5497.71997,1.816691873,1500
t574,6502.87035,2.220501256,1500
t575,5611.195964,1.050839953,1500
t576,6045.54385,1.936411362,1500
t577,6115.63134,1.741178929,1500
t578,6130.383735,2.034444259,1500
t579,5862.780541,2.175870931,1500
t580,6617.721781,2.016627369,1500
t581,6216.703409,1.044406026,1500
t582,6022.605504,1.714223563,1500
t583,5968.060094,1.488808168,1500
t584,6222.461068,1.106679525,1500
t585,5902.931457,1.697336073,1500
t586,5330.47363,2.11598937,1500
t587,5410.788154,1.7167513,1500
t588,6327.327385,1.784022578,1500
t589,5936.907654,1.139249648,1500
t590,5547.991269,1.403348455,1500
t591,5937.759766,0.929655905,1500
t592,5776.929481,1.65869182,1500
t593,5497.401848,1.071971515,1500
t594,5657.674108,2.095069152,1500
t595,5759.439569,2.014717731,1500
t596,6457.60876,2.008222086,1500
t597,5967.633041,1.353843927,1500
t598,5863.529832,1.900694683,1500
t599,5633.328112,1.777646144,1500
t600,6255.904578,1.749673684,1500
t601,6603.502133,1.258781999,1500
t602,5225.589224,1.693077279,1500
t603,5853.220178,1.236943349,1500
t604,5367.233558,2.479782539,1500
t605,6041.351681,1.9428238,1500
t606,6218.445114,2.136420807,1500
t607,5887.353055,2.180772929,1500
t608,7103.168298,1.852935029,1500
t609,5993.398847,2.134766013,1500
t610,6471.429585,2.159130841,1500
t611,5337.05432,2.271192203,1500
t612,6083.691575,1.526981481,1500
t613,6465.259038,1.621021563,1500
t614,6371.037335,1.608282118,1500
t615,5668.683568,0.645261829,1500
t616,5714.344123,1.682933327,1500
t617,6516.885171,1.657024271,1500
t618,6313.677722,1.834372129,1500
t619,5686.100367,2.461805824,1500
t620,6412.172404,1.939152056,1500
t621,5373.985673,1.524533716,1500
t622,5598.742705,1.323108772,1500
t623,6190.655868,1.735267307,1500
t624,6228.097503,2.233110177,1500
t625,6327.84408,2.360883339,1500
t626,6654.418381,1.616297906,1500
t627,5454.309937,1.669454545,1500
t628,6015.961645,1.68082265,1500
t629,5211.997303,1.530945072,1500
t630,6704.548576,1.802162189,1500
t631,5793.545728,1.935507754,1500
t632,5907.186546,1.973999145,1500
t633,6179.062723,2.541990511,1500
t634,5882.263626,2.023282376,1500
t635,5376.73146,1.83534389,1500
t636,5224.708029,1.428859425,1500
t637,5719.487603,2.532375906,1500
t638,6399.716088,2.148598729,1500
t639,5902.439333,1.486035905,1500
t640,4761.322715,1.602321022,1500
t641,5940.077781,1.222260097,1500
t642,7226.986565,2.065918593,1500
t643,5630.863838,1.824790039,1500
t644,5394.920911,0.937364193,1500
t645,6213.673997,1.324661209,1500
t646,6062.052291,1.316183034,1500
t647,5693.119018,2.392818747,1500
t648,6146.513234,2.161941447,1500
t649,5289.66059,2.366825101,1500
t650,5401.222678,1.898158113,1500
t651,4598.824738,2.264093161,1500
t652,6450.911016,1.760024573,1500
t653,5899.317976,1.837934927,1500
t654,5873.439074,1.982605449,1500
t655,6005.872262,1.236050449,1500
t656,6566.918491,1.622785123,1500
t657,5966.833239,1.83065999,1500
t658,5629.270653,1.934882925,1500
t659,6189.354711,2.586604613,1500
t660,6629.670916,1.813619666,1500
t661,5331.196932,1.427691648,1500
t662,6149.619135,1.801096385,1500
t663,6002.103684,2.075931555,1500
t664,5946.575961,2.158640203,1500
t665,5450.106335,2.027529484,1500
t666,6534.331406,1.352244576,1500
t667,6342.58228,2.104256672,1500
t668,5694.300921,2.152563652,1500
t669,6969.672968,1.108960643,1500
t670,7266.327697,1.935856401,1500
t671,7007.334065,1.638726787,1500
t672,6323.122098,2.136971012,1500
t673,6187.222876,1.554818507,1500
t674,6000.418789,2.633001608,1500
t675,5680.487138,2.164284746,1500
t676,5587.902624,2.077457009,1500
t677,5797.87493,1.017258871,1500
t678,6094.650428,1.088308654,1500
t679,5728.732937,1.896748849,1500
t680,5663.847552,1.960747879,1500
t681,5762.521824,2.020541275,1500
t682,5489.412483,1.832554627,1500
t683,5998.73898,1.103693299,1500
t684,6065.181686,2.296906234,1500
t685,6293.254925,1.154633449,1500
t686,6590.258647,2.573662917,1500
t687,6535.236114,1.361839852,1500
t688,6295.623048,1.365296602,1500
t689,5435.85245,1.886902573,1500
t690,6816.48776,0.886641517,1500
t691,5342.748534,2.14473388,1500
t692,6338.629384,1.84308162,1500
t693,5956.887322,1.874785265,1500
t694,5847.802457,2.013555898,1500
t695,6256.261969,1.467200005,1500
t696,5052.773869,1.132370531,1500
t697,6595.820631,1.673595742,1500
t698,6292.802261,1.232617182,1500
t699,5998.687249,1.462300251,1500
t700,6152.031683,2.178363274,1500
t701,5681.182163,1.426798401,1500
t702,6243.863955,2.113233535,1500
t703,6555.175697,2.051072311,1500
t704,6024.590221,2.355839819,1500
t705,5657.074746,0.729079564,1500
t706,6321.147471,1.70847219,1500
t707,6370.627002,1.786095847,1500
t708,7106.177873,1.958025634,1500
t709,5858.312784,1.273815942,1500
t710,5925.373606,1.866786604,1500
t711,6646.7605,2.421854082,1500
t712,5307.927751,2.147000277,1500
t713,5451.457078,1.752385835,1500
t714,6299.148733,1.482417607,1500
t715,6061.222831,1.801213329,1500
t716,6110.971326,1.959489556,1500
t717,5287.660327,1.283184391,1500
t718,5378.587788,1.637118703,1500
t719,6258.576456,1.533682892,1500
t720,6558.76166,1.832276339,1500
t721,6149.851946,1.719040123,1500
t722,5946.102947,2.194170643,1500
t723,6740.009904,2.514119105,1500
t724,5761.656317,1.326666866,1500
t725,5530.970233,1.924601273,1500
t726,6859.998618,1.86562115,1500
t727,4729.871916,2.341512315,1500
t728,5689.825923,2.100220788,1500
t729,5561.202992,1.968604015,1500
t730,6064.978414,1.69094193,1500
t731,6621.23194,1.398400998,1500
t732,5878.303465,1.78037439,1500
t733,6004.346277,1.903274576,1500
t734,5652.965297,2.749597933,1500
t735,5997.422537,2.098860956,1500
t736,5491.853796,1.823755315,1500
t737,5800.503668,1.93761345,1500
t738,5637.801718,1.621984546,1500
t739,5981.288576,1.986708856,1500
t740,5826.571217,2.372744171,1500
t741,6945.945487,1.56488409,1500
t742,5540.710379,2.267490001,1500
t743,6797.522257,1.80010824,1500
t744,6098.367169,1.81598424,1500
t745,6342.516084,1.502241079,1500
t746,5521.941182,2.215091119,1500
t747,5634.167607,1.812372124,1500
t748,5389.279644,2.46315488,1500
t749,5963.242578,2.245656483,1500
t750,5039.930505,1.85956776,1500
t751,5672.671985,2.03559164,1500
t752,5462.425318,1.941578506,1500
t753,5801.696818,1.986754009,1500
t754,5410.582553,1.738840751,1500
t755,5515.678832,1.766799727,1500
t756,6186.093774,1.540176043,1500
t757,5218.010713,1.944762832,1500
t758,5340.96825,1.555076405,1500
t759,4680.552689,2.643813576,1500
t760,6075.988391,1.445526296,1500
t761,5264.582046,1.850791229,1500
t762,5997.691641,2.324350357,1500
t763,6038.358457,1.388383157,1500
t764,6541.783443,1.995811055,1500
t765,4889.004465,2.357343933,1500
t766,5510.936969,2.022665625,1500
t767,5376.596719,1.9187687,1500
t768,5833.325912,2.779991828,1500
t769,5908.778831,2.113495903,1500
t770,5378.578892,1.824486558,1500
t771,6487.22365,1.654406126,1500
t772,5595.622986,1.577204087,1500
t773,6130.687362,1.310812957,1500
t774,6090.518299,2.247303138,1500
t775,6933.697188,1.784220288,1500
t776,5091.899959,2.088849537,1500
