station_name,x,y,z,temperature(degree Celsius),pressure(hPa),humidity(percent),wind_speed(km/hour),wind_direction(degree),time_stamp
Happy Valley,22.27055556,114.1836111,0,20.8,N/A,N/A,N/A,N/A,2020-04-13T17:20:00
HK Park,22.27833333,114.1622222,0,20.4,N/A,N/A,N/A,N/A,2020-04-13T17:20:00
HK Observatory,22.30194444,114.1741667,0,20.7,1019.3,69,N/A,N/A,2020-04-13T17:20:00
Green Island,22.285,114.1127778,0,N/A,N/A,N/A,20,45,2020-04-13T17:20:00
Cheung Chau Beach,22.21083333,114.0291667,0,N/A,N/A,N/A,4,45,2020-04-13T17:20:00
Cheung Chau,22.20111111,114.0266667,0,20.2,1019.6,69,5,45,2020-04-13T17:20:00
Chek Lap Kok,22.30944444,113.9219444,0,20.6,1019.7,50,8,0,2020-04-13T17:20:00
Yuen Long Park,22.41888889,113.9961111,0,20.9,N/A,N/A,N/A,N/A,2020-04-13T17:30:00
Wong Tai Sin,22.33944444,114.2052778,0,20.6,N/A,N/A,N/A,N/A,2020-04-13T17:30:00
Wong Chuk Hang,22.24777778,114.1736111,0,20.9,N/A,65,8,45,2020-04-13T17:30:00
Wetland Park,22.46666667,114.0088889,0,20.7,1019.5,63,0,N/A,2020-04-13T17:30:00
Waglan Island,22.18222222,114.3033333,0,19.9,1019.6,72,23,45,2020-04-13T17:30:00
Tuen Mun,22.39055556,113.9766667,0,20.6,N/A,52,4,0,2020-04-13T17:30:00
Tsuen Wan Shing Mun Valley,22.37555556,114.1238889,0,20.1,N/A,62,N/A,N/A,2020-04-13T17:30:00
Tsuen Wan Ho Koon,22.38361111,114.1077778,0,19.2,N/A,68,N/A,N/A,2020-04-13T17:30:00
Tsing Yi,22.34805556,114.1091667,0,21.1,N/A,57,1,315,2020-04-13T17:30:00
Tseung Kwan O,22.31583333,114.2555556,0,20.0,N/A,63,5,0,2020-04-13T17:30:00
The Peak,22.26416667,114.155,0,17.3,N/A,N/A,N/A,N/A,2020-04-13T17:30:00
Tate's Cairn,22.35777778,114.2177778,0,15.3,N/A,N/A,12,90,2020-04-13T17:30:00
Tap Mun,22.47138889,114.3605556,0,N/A,N/A,N/A,5,315,2020-04-13T17:30:00
Tai Po Kau,22.4425,114.1841667,0,N/A,N/A,N/A,N/A,N/A,2020-04-13T17:30:00
Tai Po,22.44611111,114.1788889,0,19.9,1019.8,60,N/A,N/A,2020-04-13T17:30:00
Tai Mo Shan,22.41055556,114.1244444,0,12.9,N/A,N/A,N/A,N/A,2020-04-13T17:30:00
Tai Mei Tuk,22.47527778,114.2375,0,20.6,N/A,N/A,3,0,2020-04-13T17:30:00
Ta Kwu Ling,22.52861111,114.1566667,0,20.3,1019.6,59,5,90,2020-04-13T17:30:00
Star Ferry,22.29305556,114.1686111,0,N/A,N/A,N/A,11,90,2020-04-13T17:30:00
Stanley,22.21416667,114.2186111,0,20.8,N/A,N/A,N/A,N/A,2020-04-13T17:30:00
Sheung Shui,22.50194444,114.1111111,0,20.3,1019.5,62,N/A,N/A,2020-04-13T17:30:00
Shek Kong,22.43611111,114.0847222,0,20.6,1019.8,56,N/A,N/A,2020-04-13T17:30:00
Shau Kei Wan,22.28166667,114.2361111,0,20.5,N/A,N/A,N/A,N/A,2020-04-13T17:30:00
Sham Shui Po,22.33583333,114.1369444,0,20.6,N/A,N/A,N/A,N/A,2020-04-13T17:30:00
Sha Tin,22.4025,114.21,0,20.4,1019.3,61,4,0,2020-04-13T17:30:00
Sha Chau,22.34583333,113.8911111,0,N/A,N/A,N/A,7,0,2020-04-13T17:30:00
Sai Kung,22.37555556,114.2744444,0,20.8,N/A,62,0,N/A,2020-04-13T17:30:00
Peng Chau,22.29111111,114.0433333,0,21.4,N/A,65,2,0,2020-04-13T17:30:00
Pak Tam Chung,22.40277778,114.3230556,0,20.2,N/A,N/A,N/A,N/A,2020-04-13T17:30:00
Ngong Ping,22.25861111,113.9127778,0,16.7,N/A,N/A,N/A,N/A,2020-04-13T17:30:00
Lau Fau Shan,22.46888889,113.9836111,0,20.2,1019.4,54,4,0,2020-04-13T17:30:00
Kwun Tong,22.31861111,114.2247222,0,19.8,N/A,N/A,N/A,N/A,2020-04-13T17:30:00
Kowloon City,22.335,114.1847222,0,20.3,N/A,N/A,N/A,N/A,2020-04-13T17:30:00
King's Park,22.31194444,114.1727778,0,20.2,N/A,60,7,45,2020-04-13T17:30:00
Kau Sai Chau,22.37027778,114.3125,0,20.3,N/A,64,N/A,N/A,2020-04-13T17:30:00
Kai Tak Runway Park,22.304832,114.21621,0,20.4,N/A,N/A,N/A,N/A,2020-04-13T17:30:00
Kai Tak,22.30972222,114.2133333,0,N/A,N/A,N/A,10,90,2020-04-13T17:30:00
Happy Valley,22.27055556,114.1836111,0,20.6,N/A,N/A,N/A,N/A,2020-04-13T17:30:00
HK Park,22.27833333,114.1622222,0,20.5,N/A,N/A,N/A,N/A,2020-04-13T17:30:00
HK Observatory,22.30194444,114.1741667,0,20.8,1019.5,68,N/A,N/A,2020-04-13T17:30:00
Green Island,22.285,114.1127778,0,N/A,N/A,N/A,19,45,2020-04-13T17:30:00
Cheung Chau Beach,22.21083333,114.0291667,0,N/A,N/A,N/A,2,45,2020-04-13T17:30:00
Cheung Chau,22.20111111,114.0266667,0,20.4,1019.6,69,5,45,2020-04-13T17:30:00
Chek Lap Kok,22.30944444,113.9219444,0,20.8,1019.7,49,6,0,2020-04-13T17:30:00
Yuen Long Park,22.41888889,113.9961111,0,21.1,N/A,N/A,N/A,N/A,2020-04-13T17:40:00
Wong Tai Sin,22.33944444,114.2052778,0,20.6,N/A,N/A,N/A,N/A,2020-04-13T17:40:00
Wong Chuk Hang,22.24777778,114.1736111,0,21.1,N/A,64,6,45,2020-04-13T17:40:00
Wetland Park,22.46666667,114.0088889,0,20.9,1019.5,60,3,45,2020-04-13T17:40:00
Waglan Island,22.18222222,114.3033333,0,20.1,1019.8,71,22,45,2020-04-13T17:40:00
Tuen Mun,22.39055556,113.9766667,0,20.8,N/A,50,1,0,2020-04-13T17:40:00
Tsuen Wan Shing Mun Valley,22.37555556,114.1238889,0,20.3,N/A,64,N/A,N/A,2020-04-13T17:40:00
Tsuen Wan Ho Koon,22.38361111,114.1077778,0,19.5,N/A,68,N/A,N/A,2020-04-13T17:40:00
Tsing Yi,22.34805556,114.1091667,0,21.2,N/A,57,1,180,2020-04-13T17:40:00
Tseung Kwan O,22.31583333,114.2555556,0,20.2,N/A,65,2,0,2020-04-13T17:40:00
The Peak,22.26416667,114.155,0,17.5,N/A,N/A,N/A,N/A,2020-04-13T17:40:00
Tate's Cairn,22.35777778,114.2177778,0,15.4,N/A,N/A,11,90,2020-04-13T17:40:00
Tap Mun,22.47138889,114.3605556,0,N/A,N/A,N/A,4,315,2020-04-13T17:40:00
Tai Po Kau,22.4425,114.1841667,0,N/A,N/A,N/A,N/A,N/A,2020-04-13T17:40:00
Tai Po,22.44611111,114.1788889,0,20.0,1019.8,61,N/A,N/A,2020-04-13T17:40:00
Tai Mo Shan,22.41055556,114.1244444,0,12.8,N/A,N/A,N/A,N/A,2020-04-13T17:40:00
Tai Mei Tuk,22.47527778,114.2375,0,20.8,N/A,N/A,4,45,2020-04-13T17:40:00
Ta Kwu Ling,22.52861111,114.1566667,0,20.8,1019.6,60,6,90,2020-04-13T17:40:00
Star Ferry,22.29305556,114.1686111,0,N/A,N/A,N/A,9,90,2020-04-13T17:40:00
Stanley,22.21416667,114.2186111,0,21.0,N/A,N/A,N/A,N/A,2020-04-13T17:40:00
Sheung Shui,22.50194444,114.1111111,0,20.6,1019.5,65,N/A,N/A,2020-04-13T17:40:00
Shek Kong,22.43611111,114.0847222,0,20.9,1019.7,55,N/A,N/A,2020-04-13T17:40:00
Shau Kei Wan,22.28166667,114.2361111,0,20.4,N/A,N/A,N/A,N/A,2020-04-13T17:40:00
Sham Shui Po,22.33583333,114.1369444,0,20.8,N/A,N/A,N/A,N/A,2020-04-13T17:40:00
Sha Tin,22.4025,114.21,0,20.3,1019.3,59,4,45,2020-04-13T17:40:00
Sha Chau,22.34583333,113.8911111,0,N/A,N/A,N/A,6,0,2020-04-13T17:40:00
Sai Kung,22.37555556,114.2744444,0,20.8,N/A,62,0,N/A,2020-04-13T17:40:00
Peng Chau,22.29111111,114.0433333,0,21.5,N/A,65,6,45,2020-04-13T17:40:00
Pak Tam Chung,22.40277778,114.3230556,0,20.2,N/A,N/A,N/A,N/A,2020-04-13T17:40:00
Ngong Ping,22.25861111,113.9127778,0,17.0,N/A,N/A,N/A,N/A,2020-04-13T17:40:00
Lau Fau Shan,22.46888889,113.9836111,0,20.2,1019.3,56,4,0,2020-04-13T17:40:00
Kwun Tong,22.31861111,114.2247222,0,20.0,N/A,N/A,N/A,N/A,2020-04-13T17:40:00
Kowloon City,22.335,114.1847222,0,20.5,N/A,N/A,N/A,N/A,2020-04-13T17:40:00
King's Park,22.31194444,114.1727778,0,20.4,N/A,62,6,45,2020-04-13T17:40:00
Kau Sai Chau,22.37027778,114.3125,0,20.2,N/A,65,N/A,N/A,2020-04-13T17:40:00
Kai Tak Runway Park,22.304832,114.21621,0,20.5,N/A,N/A,N/A,N/A,2020-04-13T17:40:00
Kai Tak,22.30972222,114.2133333,0,N/A,N/A,N/A,7,90,2020-04-13T17:40:00
Happy Valley,22.27055556,114.1836111,0,20.7,N/A,N/A,N/A,N/A,2020-04-13T17:40:00
HK Park,22.27833333,114.1622222,0,20.7,N/A,N/A,N/A,N/A,2020-04-13T17:40:00
HK Observatory,22.30194444,114.1741667,0,21.0,1019.5,68,N/A,N/A,2020-04-13T17:40:00
Green Island,22.285,114.1127778,0,N/A,N/A,N/A,21,45,2020-04-13T17:40:00
Cheung Chau Beach,22.21083333,114.0291667,0,N/A,N/A,N/A,3,45,2020-04-13T17:40:00
Cheung Chau,22.20111111,114.0266667,0,20.5,1019.6,69,5,0,2020-04-13T17:40:00
Chek Lap Kok,22.30944444,113.9219444,0,20.9,1019.7,49,6,0,2020-04-13T17:40:00
Yuen Long Park,22.41888889,113.9961111,0,21.3,N/A,N/A,N/A,N/A,2020-04-13T17:50:00
Wong Tai Sin,22.33944444,114.2052778,0,20.9,N/A,N/A,N/A,N/A,2020-04-13T17:50:00
Wong Chuk Hang,22.24777778,114.1736111,0,21.2,N/A,65,7,45,2020-04-13T17:50:00
Wetland Park,22.46666667,114.0088889,0,21.1,1019.6,60,0,N/A,2020-04-13T17:50:00
Waglan Island,22.18222222,114.3033333,0,20.1,1019.9,72,21,45,2020-04-13T17:50:00
Tuen Mun,22.39055556,113.9766667,0,20.9,N/A,52,1,N/A,2020-04-13T17:50:00
Tsuen Wan Shing Mun Valley,22.37555556,114.1238889,0,20.5,N/A,63,N/A,N/A,2020-04-13T17:50:00
Tsuen Wan Ho Koon,22.38361111,114.1077778,0,19.7,N/A,67,N/A,N/A,2020-04-13T17:50:00
Tsing Yi,22.34805556,114.1091667,0,21.2,N/A,56,3,N/A,2020-04-13T17:50:00
Tseung Kwan O,22.31583333,114.2555556,0,20.5,N/A,63,3,315,2020-04-13T17:50:00
The Peak,22.26416667,114.155,0,17.8,N/A,N/A,N/A,N/A,2020-04-13T17:50:00
Tate's Cairn,22.35777778,114.2177778,0,15.6,N/A,N/A,10,90,2020-04-13T17:50:00
Tap Mun,22.47138889,114.3605556,0,N/A,N/A,N/A,3,315,2020-04-13T17:50:00
Tai Po Kau,22.4425,114.1841667,0,N/A,N/A,N/A,0,N/A,2020-04-13T17:50:00
Tai Po,22.44611111,114.1788889,0,20.3,1019.8,61,N/A,N/A,2020-04-13T17:50:00
Tai Mo Shan,22.41055556,114.1244444,0,13.5,N/A,N/A,N/A,N/A,2020-04-13T17:50:00
Tai Mei Tuk,22.47527778,114.2375,0,20.9,N/A,N/A,3,45,2020-04-13T17:50:00
Ta Kwu Ling,22.52861111,114.1566667,0,21.0,1019.7,57,4,135,2020-04-13T17:50:00
Star Ferry,22.29305556,114.1686111,0,N/A,N/A,N/A,9,90,2020-04-13T17:50:00
Stanley,22.21416667,114.2186111,0,21.3,N/A,N/A,N/A,N/A,2020-04-13T17:50:00
Sheung Shui,22.50194444,114.1111111,0,21.0,1019.6,66,N/A,N/A,2020-04-13T17:50:00
Shek Kong,22.43611111,114.0847222,0,21.1,1019.9,55,N/A,N/A,2020-04-13T17:50:00
Shau Kei Wan,22.28166667,114.2361111,0,20.7,N/A,N/A,N/A,N/A,2020-04-13T17:50:00
Sham Shui Po,22.33583333,114.1369444,0,21.1,N/A,N/A,N/A,N/A,2020-04-13T17:50:00
Sha Tin,22.4025,114.21,0,20.4,1019.3,60,6,45,2020-04-13T17:50:00
Sha Chau,22.34583333,113.8911111,0,N/A,N/A,N/A,6,0,2020-04-13T17:50:00
Sai Kung,22.37555556,114.2744444,0,20.8,N/A,63,0,N/A,2020-04-13T17:50:00
Peng Chau,22.29111111,114.0433333,0,21.5,N/A,67,10,45,2020-04-13T17:50:00
Pak Tam Chung,22.40277778,114.3230556,0,20.2,N/A,N/A,N/A,N/A,2020-04-13T17:50:00
Ngong Ping,22.25861111,113.9127778,0,16.6,N/A,N/A,N/A,N/A,2020-04-13T17:50:00
Lau Fau Shan,22.46888889,113.9836111,0,20.1,1019.5,57,6,315,2020-04-13T17:50:00
Kwun Tong,22.31861111,114.2247222,0,20.3,N/A,N/A,N/A,N/A,2020-04-13T17:50:00
Kowloon City,22.335,114.1847222,0,20.8,N/A,N/A,N/A,N/A,2020-04-13T17:50:00
King's Park,22.31194444,114.1727778,0,20.7,N/A,61,5,45,2020-04-13T17:50:00
Kau Sai Chau,22.37027778,114.3125,0,20.4,N/A,66,N/A,N/A,2020-04-13T17:50:00
Kai Tak Runway Park,22.304832,114.21621,0,20.6,N/A,N/A,N/A,N/A,2020-04-13T17:50:00
Kai Tak,22.30972222,114.2133333,0,N/A,N/A,N/A,10,90,2020-04-13T17:50:00
Happy Valley,22.27055556,114.1836111,0,20.9,N/A,N/A,N/A,N/A,2020-04-13T17:50:00
HK Park,22.27833333,114.1622222,0,20.7,N/A,N/A,N/A,N/A,2020-04-13T17:50:00
HK Observatory,22.30194444,114.1741667,0,21.1,1019.5,68,N/A,N/A,2020-04-13T17:50:00
Green Island,22.285,114.1127778,0,N/A,N/A,N/A,20,45,2020-04-13T17:50:00
Cheung Chau Beach,22.21083333,114.0291667,0,N/A,N/A,N/A,5,45,2020-04-13T17:50:00
Cheung Chau,22.20111111,114.0266667,0,20.6,1019.5,70,6,45,2020-04-13T17:50:00
Chek Lap Kok,22.30944444,113.9219444,0,20.9,1019.8,49,6,0,2020-04-13T17:50:00
