primary_fuel,generation_technology,amortization_rate,capacity_MW,emission_rate_ton_h,marginal_cost_MWh,annual_emission_ton,emission_rate_ton_h,age
coal_biomass,subcritical,7,1100,935.6,50.84,4921256.00,748.48,2
coal_biomass,subcritical,7,1200,1021,49.96,5370460.00,816.8,2
coal_biomass,subcritical,7,1300,1106,49.17,5817560.00,884.8,2
coal_biomass,subcritical,7,1400,1191,48.53,6264660.00,952.8,2
coal_biomass,subcritical,7,1500,1276,48.04,6711760.00,1020.8,2
coal_biomass,subcritical,7,1600,1361,47.6,7158860.00,1088.8,2
coal_biomass,subcritical,7,1700,1446,47.22,7605960.00,1156.8,2
coal_biomass,subcritical,7,1800,1531,46.88,8053060.00,1224.8,2
coal_biomass,subcritical,7,1900,1616,46.57,8500160.00,1292.8,2
coal_biomass,subcritical,7,2000,1701,46.29,8947260.00,1360.8,2
coal_biomass,subcritical,7,2100,1786,46.05,9394360.00,1428.8,2
coal_biomass,subcritical,7,2200,1871,45.82,9841460.00,1496.8,2
coal_biomass,subcritical,7,2300,1956,45.62,10288560.00,1564.8,2
coal_biomass,subcritical,7,2400,2041,45.43,10735660.00,1632.8,2
coal_biomass,subcritical,7,2500,2126,45.25,11182760.00,1700.8,2
coal_biomass,subcritical,10,100,85.12,102.1,447731.20,68.096,3
coal_biomass,subcritical,10,200,170.2,78.29,895252.00,136.16,3
coal_biomass,subcritical,10,300,255.2,68.85,1342352.00,204.16,3
coal_biomass,subcritical,10,400,340.3,63.48,1789978.00,272.24,3
coal_biomass,subcritical,10,500,425.3,59.92,2237078.00,340.24,3
coal_biomass,subcritical,10,600,510.4,57.32,2684704.00,408.32,3
coal_biomass,subcritical,10,700,595.4,55.31,3131804.00,476.32,3
coal_biomass,subcritical,10,800,680.5,53.69,3579430.00,544.4,3
coal_biomass,subcritical,10,900,765.5,52.35,4026530.00,612.4,3
coal_biomass,subcritical,10,1000,850.6,51.21,4474156.00,680.48,3
coal_biomass,subcritical,10,1100,935.6,50.22,4921256.00,748.48,3
coal_biomass,subcritical,10,1200,1021,49.35,5370460.00,816.8,3
coal_biomass,subcritical,10,1300,1106,48.57,5817560.00,884.8,3
coal_biomass,subcritical,10,1400,1191,47.94,6264660.00,952.8,3
coal_biomass,subcritical,10,1500,1276,47.45,6711760.00,1020.8,3
coal_biomass,subcritical,10,1600,1361,47.02,7158860.00,1088.8,3
coal_biomass,subcritical,10,1700,1446,46.64,7605960.00,1156.8,3
coal_biomass,subcritical,10,1800,1531,46.3,8053060.00,1224.8,3
coal_biomass,subcritical,10,1900,1616,46,8500160.00,1292.8,3
coal_biomass,subcritical,10,2000,1701,45.73,8947260.00,1360.8,3
coal_biomass,subcritical,10,2100,1786,45.48,9394360.00,1428.8,3
coal_biomass,subcritical,10,2200,1871,45.26,9841460.00,1496.8,3
coal_biomass,subcritical,10,2300,1956,45.06,10288560.00,1564.8,3
coal_biomass,subcritical,10,2400,2041,44.87,10735660.00,1632.8,3
coal_biomass,subcritical,10,2500,2126,44.7,11182760.00,1700.8,3
coal_biomass,subcritical,13,100,85.12,101,447731.20,68.096,4
coal_biomass,subcritical,13,200,170.2,77.37,895252.00,136.16,4
coal_biomass,subcritical,13,300,255.2,68.02,1342352.00,204.16,4
coal_biomass,subcritical,13,400,340.3,62.71,1789978.00,272.24,4
coal_biomass,subcritical,13,500,425.3,59.18,2237078.00,340.24,4
coal_biomass,subcritical,13,600,510.4,56.61,2684704.00,408.32,4
coal_biomass,subcritical,13,700,595.4,54.63,3131804.00,476.32,4
coal_biomass,subcritical,13,800,680.5,53.03,3579430.00,544.4,4
coal_biomass,subcritical,13,900,765.5,51.7,4026530.00,612.4,4
coal_biomass,subcritical,13,1000,850.6,50.58,4474156.00,680.48,4
coal_biomass,subcritical,13,1100,935.6,49.6,4921256.00,748.48,4
coal_biomass,subcritical,13,1200,1021,48.74,5370460.00,816.8,4
coal_biomass,subcritical,13,1300,1106,47.97,5817560.00,884.8,4
coal_biomass,subcritical,13,1400,1191,47.34,6264660.00,952.8,4
coal_biomass,subcritical,13,1500,1276,46.86,6711760.00,1020.8,4
coal_biomass,subcritical,13,1600,1361,46.44,7158860.00,1088.8,4
coal_biomass,subcritical,13,1700,1446,46.06,7605960.00,1156.8,4
coal_biomass,subcritical,13,1800,1531,45.73,8053060.00,1224.8,4
coal_biomass,subcritical,13,1900,1616,45.43,8500160.00,1292.8,4
coal_biomass,subcritical,13,2000,1701,45.16,8947260.00,1360.8,4
coal_biomass,subcritical,13,2100,1786,44.92,9394360.00,1428.8,4
coal_biomass,subcritical,13,2200,1871,44.7,9841460.00,1496.8,4
coal_biomass,subcritical,13,2300,1956,44.5,10288560.00,1564.8,4
coal_biomass,subcritical,13,2400,2041,44.31,10735660.00,1632.8,4
coal_biomass,subcritical,13,2500,2126,44.14,11182760.00,1700.8,4
coal_biomass,subcritical,17,100,85.12,99.59,447731.20,68.096,5
coal_biomass,subcritical,17,200,170.2,76.16,895252.00,136.16,5
coal_biomass,subcritical,17,300,255.2,66.91,1342352.00,204.16,5
coal_biomass,subcritical,17,400,340.3,61.67,1789978.00,272.24,5
coal_biomass,subcritical,17,500,425.3,58.19,2237078.00,340.24,5
coal_biomass,subcritical,17,600,510.4,55.67,2684704.00,408.32,5
coal_biomass,subcritical,17,700,595.4,53.71,3131804.00,476.32,5
coal_biomass,subcritical,17,800,680.5,52.14,3579430.00,544.4,5
coal_biomass,subcritical,17,900,765.5,50.84,4026530.00,612.4,5
coal_biomass,subcritical,17,1000,850.6,49.73,4474156.00,680.48,5
coal_biomass,subcritical,17,1100,935.6,48.77,4921256.00,748.48,5
coal_biomass,subcritical,17,1200,1021,47.92,5370460.00,816.8,5
coal_biomass,subcritical,17,1300,1106,47.17,5817560.00,884.8,5
coal_biomass,subcritical,17,1400,1191,46.55,6264660.00,952.8,5
coal_biomass,subcritical,17,1500,1276,46.08,6711760.00,1020.8,5
coal_biomass,subcritical,17,1600,1361,45.66,7158860.00,1088.8,5
coal_biomass,subcritical,17,1700,1446,45.3,7605960.00,1156.8,5
coal_biomass,subcritical,17,1800,1531,44.97,8053060.00,1224.8,5
coal_biomass,subcritical,17,1900,1616,44.68,8500160.00,1292.8,5
coal_biomass,subcritical,17,2000,1701,44.41,8947260.00,1360.8,5
coal_biomass,subcritical,17,2100,1786,44.17,9394360.00,1428.8,5
coal_biomass,subcritical,17,2200,1871,43.95,9841460.00,1496.8,5
coal_biomass,subcritical,17,2300,1956,43.75,10288560.00,1564.8,5
coal_biomass,subcritical,17,2400,2041,43.57,10735660.00,1632.8,5
coal_biomass,subcritical,17,2500,2126,43.4,11182760.00,1700.8,5
coal_biomass,subcritical,20,100,85.12,98.51,447731.20,68.096,6
coal_biomass,subcritical,20,200,170.2,75.24,895252.00,136.16,6
coal_biomass,subcritical,20,300,255.2,66.08,1342352.00,204.16,6
coal_biomass,subcritical,20,400,340.3,60.9,1789978.00,272.24,6
coal_biomass,subcritical,20,500,425.3,57.46,2237078.00,340.24,6
coal_biomass,subcritical,20,600,510.4,54.96,2684704.00,408.32,6
coal_biomass,subcritical,20,700,595.4,53.03,3131804.00,476.32,6
coal_biomass,subcritical,20,800,680.5,51.48,3579430.00,544.4,6
coal_biomass,subcritical,20,900,765.5,50.19,4026530.00,612.4,6
coal_biomass,subcritical,20,1000,850.6,49.1,4474156.00,680.48,6
coal_biomass,subcritical,20,1100,935.6,48.15,4921256.00,748.48,6
coal_biomass,subcritical,20,1200,1021,47.31,5370460.00,816.8,6
coal_biomass,subcritical,20,1300,1106,46.56,5817560.00,884.8,6
coal_biomass,subcritical,20,1400,1191,45.96,6264660.00,952.8,6
coal_biomass,subcritical,20,1500,1276,45.49,6711760.00,1020.8,6
coal_biomass,subcritical,20,1600,1361,45.08,7158860.00,1088.8,6
coal_biomass,subcritical,20,1700,1446,44.72,7605960.00,1156.8,6
coal_biomass,subcritical,20,1800,1531,44.4,8053060.00,1224.8,6
coal_biomass,subcritical,20,1900,1616,44.11,8500160.00,1292.8,6
coal_biomass,subcritical,20,2000,1701,43.85,8947260.00,1360.8,6
coal_biomass,subcritical,20,2100,1786,43.61,9394360.00,1428.8,6
coal_biomass,subcritical,20,2200,1871,43.39,9841460.00,1496.8,6
coal_biomass,subcritical,20,2300,1956,43.19,10288560.00,1564.8,6
coal_biomass,subcritical,20,2400,2041,43.01,10735660.00,1632.8,6
coal_biomass,subcritical,20,2500,2126,42.84,11182760.00,1700.8,6
coal_biomass,subcritical,23,100,85.12,97.43,447731.20,68.096,7
coal_biomass,subcritical,23,200,170.2,74.33,895252.00,136.16,7
coal_biomass,subcritical,23,300,255.2,65.25,1342352.00,204.16,7
coal_biomass,subcritical,23,400,340.3,60.12,1789978.00,272.24,7
coal_biomass,subcritical,23,500,425.3,56.72,2237078.00,340.24,7
coal_biomass,subcritical,23,600,510.4,54.25,2684704.00,408.32,7
coal_biomass,subcritical,23,700,595.4,52.35,3131804.00,476.32,7
coal_biomass,subcritical,23,800,680.5,50.82,3579430.00,544.4,7
coal_biomass,subcritical,23,900,765.5,49.54,4026530.00,612.4,7
coal_biomass,subcritical,23,1000,850.6,48.46,4474156.00,680.48,7
coal_biomass,subcritical,23,1100,935.6,47.53,4921256.00,748.48,7
coal_biomass,subcritical,23,1200,1021,46.7,5370460.00,816.8,7
coal_biomass,subcritical,23,1300,1106,45.96,5817560.00,884.8,7
coal_biomass,subcritical,23,1400,1191,45.36,6264660.00,952.8,7
coal_biomass,subcritical,23,1500,1276,44.9,6711760.00,1020.8,7
coal_biomass,subcritical,23,1600,1361,44.5,7158860.00,1088.8,7
coal_biomass,subcritical,23,1700,1446,44.14,7605960.00,1156.8,7
coal_biomass,subcritical,23,1800,1531,43.83,8053060.00,1224.8,7
coal_biomass,subcritical,23,1900,1616,43.54,8500160.00,1292.8,7
coal_biomass,subcritical,23,2000,1701,43.28,8947260.00,1360.8,7
coal_biomass,subcritical,23,2100,1786,43.05,9394360.00,1428.8,7
coal_biomass,subcritical,23,2200,1871,42.83,9841460.00,1496.8,7
coal_biomass,subcritical,23,2300,1956,42.63,10288560.00,1564.8,7
coal_biomass,subcritical,23,2400,2041,42.45,10735660.00,1632.8,7
coal_biomass,subcritical,23,2500,2126,42.28,11182760.00,1700.8,7
coal_biomass,subcritical,27,100,85.12,95.98,447731.20,68.096,8
coal_biomass,subcritical,27,200,170.2,73.11,895252.00,136.16,8
coal_biomass,subcritical,27,300,255.2,64.14,1342352.00,204.16,8
coal_biomass,subcritical,27,400,340.3,59.08,1789978.00,272.24,8
coal_biomass,subcritical,27,500,425.3,55.74,2237078.00,340.24,8
coal_biomass,subcritical,27,600,510.4,53.31,2684704.00,408.32,8
coal_biomass,subcritical,27,700,595.4,51.43,3131804.00,476.32,8
coal_biomass,subcritical,27,800,680.5,49.93,3579430.00,544.4,8
coal_biomass,subcritical,27,900,765.5,48.68,4026530.00,612.4,8
coal_biomass,subcritical,27,1000,850.6,47.62,4474156.00,680.48,8
coal_biomass,subcritical,27,1100,935.6,46.7,4921256.00,748.48,8
coal_biomass,subcritical,27,1200,1021,45.89,5370460.00,816.8,8
coal_biomass,subcritical,27,1300,1106,45.16,5817560.00,884.8,8
coal_biomass,subcritical,27,1400,1191,44.57,6264660.00,952.8,8
coal_biomass,subcritical,27,1500,1276,44.12,6711760.00,1020.8,8
coal_biomass,subcritical,27,1600,1361,43.73,7158860.00,1088.8,8
coal_biomass,subcritical,27,1700,1446,43.38,7605960.00,1156.8,8
coal_biomass,subcritical,27,1800,1531,43.06,8053060.00,1224.8,8
coal_biomass,subcritical,27,1900,1616,42.78,8500160.00,1292.8,8
coal_biomass,subcritical,27,2000,1701,42.53,8947260.00,1360.8,8
coal_biomass,subcritical,27,2100,1786,42.3,9394360.00,1428.8,8
coal_biomass,subcritical,27,2200,1871,42.08,9841460.00,1496.8,8
coal_biomass,subcritical,27,2300,1956,41.89,10288560.00,1564.8,8
coal_biomass,subcritical,27,2400,2041,41.71,10735660.00,1632.8,8
coal_biomass,subcritical,27,2500,2126,41.54,11182760.00,1700.8,8
coal_biomass,subcritical,30,100,85.12,94.9,447731.20,68.096,9
coal_biomass,subcritical,30,200,170.2,72.19,895252.00,136.16,9
coal_biomass,subcritical,30,300,255.2,63.31,1342352.00,204.16,9
coal_biomass,subcritical,30,400,340.3,58.31,1789978.00,272.24,9
coal_biomass,subcritical,30,500,425.3,55,2237078.00,340.24,9
coal_biomass,subcritical,30,600,510.4,52.6,2684704.00,408.32,9
coal_biomass,subcritical,30,700,595.4,50.75,3131804.00,476.32,9
coal_biomass,subcritical,30,800,680.5,49.27,3579430.00,544.4,9
coal_biomass,subcritical,30,900,765.5,48.03,4026530.00,612.4,9
coal_biomass,subcritical,30,1000,850.6,46.99,4474156.00,680.48,9
coal_biomass,subcritical,30,1100,935.6,46.08,4921256.00,748.48,9
coal_biomass,subcritical,30,1200,1021,45.28,5370460.00,816.8,9
coal_biomass,subcritical,30,1300,1106,44.56,5817560.00,884.8,9
coal_biomass,subcritical,30,1400,1191,43.98,6264660.00,952.8,9
coal_biomass,subcritical,30,1500,1276,43.53,6711760.00,1020.8,9
coal_biomass,subcritical,30,1600,1361,43.15,7158860.00,1088.8,9
coal_biomass,subcritical,30,1700,1446,42.8,7605960.00,1156.8,9
coal_biomass,subcritical,30,1800,1531,42.49,8053060.00,1224.8,9
coal_biomass,subcritical,30,1900,1616,42.21,8500160.00,1292.8,9
coal_biomass,subcritical,30,2000,1701,41.96,8947260.00,1360.8,9
coal_biomass,subcritical,30,2100,1786,41.73,9394360.00,1428.8,9
coal_biomass,subcritical,30,2200,1871,41.52,9841460.00,1496.8,9
coal_biomass,subcritical,30,2300,1956,41.33,10288560.00,1564.8,9
coal_biomass,subcritical,30,2400,2041,41.15,10735660.00,1632.8,9
coal_biomass,subcritical,30,2500,2126,40.98,11182760.00,1700.8,9
coal_biomass,subcritical,33,100,85.12,93.82,447731.20,68.096,10
coal_biomass,subcritical,33,200,170.2,71.28,895252.00,136.16,10
coal_biomass,subcritical,33,300,255.2,62.48,1342352.00,204.16,10
coal_biomass,subcritical,33,400,340.3,57.53,1789978.00,272.24,10
coal_biomass,subcritical,33,500,425.3,54.26,2237078.00,340.24,10
coal_biomass,subcritical,33,600,510.4,51.89,2684704.00,408.32,10
coal_biomass,subcritical,33,700,595.4,50.07,3131804.00,476.32,10
coal_biomass,subcritical,33,800,680.5,48.6,3579430.00,544.4,10
coal_biomass,subcritical,33,900,765.5,47.39,4026530.00,612.4,10
coal_biomass,subcritical,33,1000,850.6,46.35,4474156.00,680.48,10
coal_biomass,subcritical,33,1100,935.6,45.46,4921256.00,748.48,10
coal_biomass,subcritical,33,1200,1021,44.66,5370460.00,816.8,10
coal_biomass,subcritical,33,1300,1106,43.96,5817560.00,884.8,10
coal_biomass,subcritical,33,1400,1191,43.38,6264660.00,952.8,10
coal_biomass,subcritical,33,1500,1276,42.95,6711760.00,1020.8,10
coal_biomass,subcritical,33,1600,1361,42.56,7158860.00,1088.8,10
coal_biomass,subcritical,33,1700,1446,42.22,7605960.00,1156.8,10
coal_biomass,subcritical,33,1800,1531,41.92,8053060.00,1224.8,10
coal_biomass,subcritical,33,1900,1616,41.65,8500160.00,1292.8,10
coal_biomass,subcritical,33,2000,1701,41.4,8947260.00,1360.8,10
coal_biomass,subcritical,33,2100,1786,41.17,9394360.00,1428.8,10
coal_biomass,subcritical,33,2200,1871,40.96,9841460.00,1496.8,10
coal_biomass,subcritical,33,2300,1956,40.77,10288560.00,1564.8,10
coal_biomass,subcritical,33,2400,2041,40.59,10735660.00,1632.8,10
coal_biomass,subcritical,33,2500,2126,40.42,11182760.00,1700.8,10
coal_biomass,subcritical,37,100,85.12,92.37,447731.20,68.096,11
coal_biomass,subcritical,37,200,170.2,70.06,895252.00,136.16,11
coal_biomass,subcritical,37,300,255.2,61.37,1342352.00,204.16,11
coal_biomass,subcritical,37,400,340.3,56.49,1789978.00,272.24,11
coal_biomass,subcritical,37,500,425.3,53.28,2237078.00,340.24,11
coal_biomass,subcritical,37,600,510.4,50.95,2684704.00,408.32,11
coal_biomass,subcritical,37,700,595.4,49.16,3131804.00,476.32,11
coal_biomass,subcritical,37,800,680.5,47.72,3579430.00,544.4,11
coal_biomass,subcritical,37,900,765.5,46.52,4026530.00,612.4,11
coal_biomass,subcritical,37,1000,850.6,45.51,4474156.00,680.48,11
coal_biomass,subcritical,37,1100,935.6,44.63,4921256.00,748.48,11
coal_biomass,subcritical,37,1200,1021,43.85,5370460.00,816.8,11
coal_biomass,subcritical,37,1300,1106,43.15,5817560.00,884.8,11
coal_biomass,subcritical,37,1400,1191,42.59,6264660.00,952.8,11
coal_biomass,subcritical,37,1500,1276,42.16,6711760.00,1020.8,11
coal_biomass,subcritical,37,1600,1361,41.79,7158860.00,1088.8,11
coal_biomass,subcritical,37,1700,1446,41.46,7605960.00,1156.8,11
coal_biomass,subcritical,37,1800,1531,41.16,8053060.00,1224.8,11
coal_biomass,subcritical,37,1900,1616,40.89,8500160.00,1292.8,11
coal_biomass,subcritical,37,2000,1701,40.64,8947260.00,1360.8,11
coal_biomass,subcritical,37,2100,1786,40.42,9394360.00,1428.8,11
coal_biomass,subcritical,37,2200,1871,40.22,9841460.00,1496.8,11
coal_biomass,subcritical,37,2300,1956,40.03,10288560.00,1564.8,11
coal_biomass,subcritical,37,2400,2041,39.85,10735660.00,1632.8,11
coal_biomass,subcritical,37,2500,2126,39.68,11182760.00,1700.8,11
coal_biomass,subcritical,40,100,85.12,91.29,447731.20,68.096,12
coal_biomass,subcritical,40,200,170.2,69.14,895252.00,136.16,12
coal_biomass,subcritical,40,300,255.2,60.54,1342352.00,204.16,12
coal_biomass,subcritical,40,400,340.3,55.72,1789978.00,272.24,12
coal_biomass,subcritical,40,500,425.3,52.54,2237078.00,340.24,12
coal_biomass,subcritical,40,600,510.4,50.24,2684704.00,408.32,12
coal_biomass,subcritical,40,700,595.4,48.47,3131804.00,476.32,12
coal_biomass,subcritical,40,800,680.5,47.05,3579430.00,544.4,12
coal_biomass,subcritical,40,900,765.5,45.88,4026530.00,612.4,12
coal_biomass,subcritical,40,1000,850.6,44.88,4474156.00,680.48,12
coal_biomass,subcritical,40,1100,935.6,44.01,4921256.00,748.48,12
coal_biomass,subcritical,40,1200,1021,43.24,5370460.00,816.8,12
coal_biomass,subcritical,40,1300,1106,42.55,5817560.00,884.8,12
coal_biomass,subcritical,40,1400,1191,42,6264660.00,952.8,12
coal_biomass,subcritical,40,1500,1276,41.58,6711760.00,1020.8,12
coal_biomass,subcritical,40,1600,1361,41.21,7158860.00,1088.8,12
coal_biomass,subcritical,40,1700,1446,40.88,7605960.00,1156.8,12
coal_biomass,subcritical,40,1800,1531,40.59,8053060.00,1224.8,12
coal_biomass,subcritical,40,1900,1616,40.32,8500160.00,1292.8,12
coal_biomass,subcritical,40,2000,1701,40.08,8947260.00,1360.8,12
coal_biomass,subcritical,40,2100,1786,39.86,9394360.00,1428.8,12
coal_biomass,subcritical,40,2200,1871,39.66,9841460.00,1496.8,12
coal_biomass,subcritical,40,2300,1956,39.47,10288560.00,1564.8,12
coal_biomass,subcritical,40,2400,2041,39.29,10735660.00,1632.8,12
coal_biomass,subcritical,40,2500,2126,39.12,11182760.00,1700.8,12
coal_biomass,subcritical,43,100,85.12,90.2,447731.20,68.096,13
coal_biomass,subcritical,43,200,170.2,68.23,895252.00,136.16,13
coal_biomass,subcritical,43,300,255.2,59.71,1342352.00,204.16,13
coal_biomass,subcritical,43,400,340.3,54.94,1789978.00,272.24,13
coal_biomass,subcritical,43,500,425.3,51.8,2237078.00,340.24,13
coal_biomass,subcritical,43,600,510.4,49.53,2684704.00,408.32,13
coal_biomass,subcritical,43,700,595.4,47.79,3131804.00,476.32,13
coal_biomass,subcritical,43,800,680.5,46.39,3579430.00,544.4,13
coal_biomass,subcritical,43,900,765.5,45.23,4026530.00,612.4,13
coal_biomass,subcritical,43,1000,850.6,44.24,4474156.00,680.48,13
coal_biomass,subcritical,43,1100,935.6,43.38,4921256.00,748.48,13
coal_biomass,subcritical,43,1200,1021,42.63,5370460.00,816.8,13
coal_biomass,subcritical,43,1300,1106,41.95,5817560.00,884.8,13
coal_biomass,subcritical,43,1400,1191,41.4,6264660.00,952.8,13
coal_biomass,subcritical,43,1500,1276,40.99,6711760.00,1020.8,13
coal_biomass,subcritical,43,1600,1361,40.63,7158860.00,1088.8,13
coal_biomass,subcritical,43,1700,1446,40.3,7605960.00,1156.8,13
coal_biomass,subcritical,43,1800,1531,40.01,8053060.00,1224.8,13
coal_biomass,subcritical,43,1900,1616,39.75,8500160.00,1292.8,13
coal_biomass,subcritical,43,2000,1701,39.51,8947260.00,1360.8,13
coal_biomass,subcritical,43,2100,1786,39.3,9394360.00,1428.8,13
coal_biomass,subcritical,43,2200,1871,39.09,9841460.00,1496.8,13
coal_biomass,subcritical,43,2300,1956,38.91,10288560.00,1564.8,13
coal_biomass,subcritical,43,2400,2041,38.73,10735660.00,1632.8,13
coal_biomass,subcritical,43,2500,2126,38.57,11182760.00,1700.8,13
coal_biomass,subcritical,47,100,85.12,88.76,447731.20,68.096,14
coal_biomass,subcritical,47,200,170.2,67.01,895252.00,136.16,14
coal_biomass,subcritical,47,300,255.2,58.6,1342352.00,204.16,14
coal_biomass,subcritical,47,400,340.3,53.91,1789978.00,272.24,14
coal_biomass,subcritical,47,500,425.3,50.82,2237078.00,340.24,14
coal_biomass,subcritical,47,600,510.4,48.59,2684704.00,408.32,14
coal_biomass,subcritical,47,700,595.4,46.88,3131804.00,476.32,14
coal_biomass,subcritical,47,800,680.5,45.5,3579430.00,544.4,14
coal_biomass,subcritical,47,900,765.5,44.37,4026530.00,612.4,14
coal_biomass,subcritical,47,1000,850.6,43.4,4474156.00,680.48,14
coal_biomass,subcritical,47,1100,935.6,42.56,4921256.00,748.48,14
coal_biomass,subcritical,47,1200,1021,41.81,5370460.00,816.8,14
coal_biomass,subcritical,47,1300,1106,41.15,5817560.00,884.8,14
coal_biomass,subcritical,47,1400,1191,40.61,6264660.00,952.8,14
coal_biomass,subcritical,47,1500,1276,40.21,6711760.00,1020.8,14
coal_biomass,subcritical,47,1600,1361,39.85,7158860.00,1088.8,14
coal_biomass,subcritical,47,1700,1446,39.54,7605960.00,1156.8,14
coal_biomass,subcritical,47,1800,1531,39.25,8053060.00,1224.8,14
coal_biomass,subcritical,47,1900,1616,39,8500160.00,1292.8,14
coal_biomass,subcritical,47,2000,1701,38.76,8947260.00,1360.8,14
coal_biomass,subcritical,47,2100,1786,38.55,9394360.00,1428.8,14
coal_biomass,subcritical,47,2200,1871,38.35,9841460.00,1496.8,14
coal_biomass,subcritical,47,2300,1956,38.16,10288560.00,1564.8,14
coal_biomass,subcritical,47,2400,2041,37.99,10735660.00,1632.8,14
coal_biomass,subcritical,47,2500,2126,37.82,11182760.00,1700.8,14
coal_biomass,subcritical,50,100,85.12,87.68,447731.20,68.096,15
coal_biomass,subcritical,50,200,170.2,66.1,895252.00,136.16,15
coal_biomass,subcritical,50,300,255.2,57.77,1342352.00,204.16,15
coal_biomass,subcritical,50,400,340.3,53.13,1789978.00,272.24,15
coal_biomass,subcritical,50,500,425.3,50.08,2237078.00,340.24,15
coal_biomass,subcritical,50,600,510.4,47.88,2684704.00,408.32,15
coal_biomass,subcritical,50,700,595.4,46.19,3131804.00,476.32,15
coal_biomass,subcritical,50,800,680.5,44.84,3579430.00,544.4,15
coal_biomass,subcritical,50,900,765.5,43.72,4026530.00,612.4,15
coal_biomass,subcritical,50,1000,850.6,42.76,4474156.00,680.48,15
coal_biomass,subcritical,50,1100,935.6,41.94,4921256.00,748.48,15
coal_biomass,subcritical,50,1200,1021,41.2,5370460.00,816.8,15
coal_biomass,subcritical,50,1300,1106,40.54,5817560.00,884.8,15
coal_biomass,subcritical,50,1400,1191,40.02,6264660.00,952.8,15
coal_biomass,subcritical,50,1500,1276,39.62,6711760.00,1020.8,15
coal_biomass,subcritical,50,1600,1361,39.27,7158860.00,1088.8,15
coal_biomass,subcritical,50,1700,1446,38.96,7605960.00,1156.8,15
coal_biomass,subcritical,50,1800,1531,38.68,8053060.00,1224.8,15
coal_biomass,subcritical,50,1900,1616,38.43,8500160.00,1292.8,15
coal_biomass,subcritical,50,2000,1701,38.2,8947260.00,1360.8,15
coal_biomass,subcritical,50,2100,1786,37.98,9394360.00,1428.8,15
coal_biomass,subcritical,50,2200,1871,37.79,9841460.00,1496.8,15
coal_biomass,subcritical,50,2300,1956,37.6,10288560.00,1564.8,15
coal_biomass,subcritical,50,2400,2041,37.43,10735660.00,1632.8,15
coal_biomass,subcritical,50,2500,2126,37.27,11182760.00,1700.8,15
coal_biomass,subcritical,53,100,85.12,86.59,447731.20,68.096,16
coal_biomass,subcritical,53,200,170.2,65.18,895252.00,136.16,16
coal_biomass,subcritical,53,300,255.2,56.94,1342352.00,204.16,16
coal_biomass,subcritical,53,400,340.3,52.35,1789978.00,272.24,16
coal_biomass,subcritical,53,500,425.3,49.34,2237078.00,340.24,16
