Source,Type,Target,Relation,Domain,Range,Source definition,Definition language
hasDrivenSectionLength,Data Property,,,Apparatus,Float,,
hasDriverSectionLengthUnit,Data Property,,,Apparatus,String,,
hasDriverSectionLength,Data Property,,,Apparatus,Float,,
hasInitialConcentration,Data Property,,,ExperimentCondition,Float,,
hasInitialLength,Data Property,,,ExperimentCondition,Float,,
hasInitialPressure,Data Property,,,ExperimentCondition,Float,,
hasInitialPressureUnit,Data Property,,,ExperimentCondition,String,,
hasUncertaintyBound,Data Property,,,ExperimentCondition,String,,
hasUncertaintyKind,Data Property,,,ExperimentCondition,String,,
hasUncertainty,Data Property,,,ExperimentCondition,Float,,
hasUncertaintyUnit,Data Property,,,ExperimentCondition,String,,
hasInitialAmount,Data Property,,,Species,Float,,
hasInitialAmountUnit,Data Property,,,Species,String,,
hasTemperatureUnit ,Data Property,,,IgnitionDelay,String,,
hasTemperature ,Data Property,,,IgnitionDelaySpecification,Float,,
hasIgnitionTimeDelay ,Data Property,,,IgnitionDelaySpecification,Float,,
hasIgnitionTimeDelayUnit ,Data Property,,,IgnitionDelay,String,,
hasConcentrationUnit,Data Property,,,SpeciesProfile,String,,
hasConcentration,Data Property,,,SpeciesProfileSpecification,Float,,
hasTemperatureBehindReflectedShockWaveUnit,Data Property,,,IgnitionDelaySpecification,String,,
hasTemperatureBehindReflectedShockWave,Data Property,,,IgnitionDelaySpecification,Float,,
rdfs:label,Data Property,,,,String,,
hasArrivingTimeOfCoolingWaveUnit,Data Property,,,InitialAndPost-shock,String,,
hasArrivingTimeOfCoolingWave,Data Property,,,InitialAndPost-shockConditions ,Float,,
hasUnit,Data Property,,,ExperimentCondition,String,,
hasDrivenSectionLengthUnit ,Data Property,,,Apparatus,String,,
hasDrivenSectionLength ,Data Property,,,Apparatus,Float,,
hasDriverSectionLengthUnit,Data Property,,,Apparatus,String,,
hasDriverSectionLength,Data Property,,,Apparatus,Float,,
hasInternalShockTubeDiameterUnit,Data Property,,,Apparatus,String,,
hasInternalShockTubeDiameter,Data Property,,,Apparatus,Float,,
hasShockTubeWallMaterial,Data Property,,,Apparatus,String,,
hasArrivingTimeOfCoolingWaveUnit,Data Property,,,InitialAndPost-shockConditions ,String,,
hasInitialPressureUnit ,Data Property,,,InitialAndPost-shockConditions ,String,,
hasInitialTemperatureUnit,Data Property,,,InitialAndPost-shockConditions ,String,,
hasPressureBehindReflectedShock-waveUnit ,Data Property,,,InitialAndPost-shockConditions ,String,,
hasTemperatureBehindReflectedShock-waveUnit ,Data Property,,,InitialAndPost-shockConditions ,String,,
hasTemperatureBehindTheIncidentShockWaveUnit ,Data Property,,,InitialAndPost-shockConditions ,String,,
hasTimeForSootAppearanceUnit ,Data Property,,,InitialAndPost-shockConditions ,String,,
hasArrivingTimeOfCoolingWave ,Data Property,,,InitialAndPost-shockConditionsSpecification,Float,,
hasInitialPressure ,Data Property,,,InitialAndPost-shockConditionsSpecification,Float,,
hasInitialTemperature ,Data Property,,,InitialAndPost-shockConditionsSpecification,Float,,
hasPressureBehindReflectedShock-wave ,Data Property,,,InitialAndPost-shockConditionsSpecification,Float,,
hasTemperatureBehindReflectedShock-wave ,Data Property,,,InitialAndPost-shockConditionsSpecification,Float,,
hasTemperatureBehindTheIncidentShockWave ,Data Property,,,InitialAndPost-shockConditionsSpecification,Float,,
hasTimeForSootAppearance ,Data Property,,,InitialAndPost-shockConditionsSpecification,Float,,
hasIgnitionTimeDelayUnit,Data Property,,,IgnitionDelay,String,,
hasTemperatureUnit ,Data Property,,,IgnitionDelay,String,,
hasUncertaintyBoundforTemperature ,Data Property,,,IgnitionDelay,String,,
hasUncertaintyKindforTemperature ,Data Property,,,IgnitionDelay,String,,
hasUncertaintyTransformationforTemperature ,Data Property,,,IgnitionDelay,Float,,
hasUncertaintyValueforTemperature ,Data Property,,,IgnitionDelay,Float,,
