Source,Type,Target,Relation,Domain,Range,Quantifier,Comment,Defined By
hasLongitude,Data Property,,,http://www.w3.org/2002/07/owl#Thing,String,,"Geographical longitude of gird component, pipeline start, and pipeline end.",http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_system.owl
hasOrder,Data Property,,,GridPipelineSegment,String,,The order that the GridPipelineSegment as within a GridPipeline,http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_system.owl
GridPipelineSegment,Class,http://www.theworldavatar.com/ontology/ontocape/upper_level/network_system.owl#NetworkSystem,IS-A,,,,"Segment of a grid pipeline defined by a start, end, and tube.",http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_system.owl
hasStartPart,Object Property,http://www.theworldavatar.com/ontology/meta_model/mereology/mereology.owl#hasDirectPart ,,GridPipelineSegment,GasPipelineStart,,Gas pipeline segment contains as a part gas pipeline start,http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_system.owl
hasEndPart,Object Property,http://www.theworldavatar.com/ontology/meta_model/mereology/mereology.owl#hasDirectPart ,,GridPipelineSegment,GasPipelineEnd,,Gas pipeline segment contains as a part gas pipeline end,http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_system.owl
hasTubePart,Object Property,http://www.theworldavatar.com/ontology/meta_model/mereology/mereology.owl#hasDirectPart ,,GridPipelineSegment,GasPipelineTube,,Gas pipeline segment contains as a part gas pipeline end,http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_system.owl
GasPipeConnection,Class,http://www.theworldavatar.com/ontology/ontocape/upper_level/network_system.owl#Device,IS-A,,,,Defines the connection between the start and end of two gas pipe segments,"
http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_system.owl"
entersPipeConnection,Object Property,,,http://www.theworldavatar.com/ontology/ontocape/upper_level/network_system.owl#DirectedConnection,http://www.theworldavatar.com/ontology/ontocape/upper_level/network_system.owl#Device,,,http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_system.owl
hasPipeConnectionOutput,Object Property,,,http://www.theworldavatar.com/ontology/ontocape/upper_level/network_system.owl#Device,http://www.theworldavatar.com/ontology/ontocape/upper_level/network_system.owl#DirectedConnection,,,http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_system.owl
entersPipeConnection,Object Property,,,http://www.theworldavatar.com/ontology/ontocape/upper_level/network_system.owl#DirectedConnection,http://www.theworldavatar.com/ontology/meta_model/topology/topology.owl#Node,,,http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_system.owl
entersSegmentPart,Object Property,,,http://www.theworldavatar.com/ontology/ontocape/upper_level/network_system.owl#DirectedConnection,http://www.theworldavatar.com/ontology/ontocape/upper_level/network_system.owl#Device,,,http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_system.owl
hasSegmentPartOutput,Object Property,,,http://www.theworldavatar.com/ontology/ontocape/upper_level/network_system.owl#Device,http://www.theworldavatar.com/ontology/ontocape/upper_level/network_system.owl#DirectedConnection,,,http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_system.owl
entersSegmentPart,Object Property,,,http://www.theworldavatar.com/ontology/ontocape/upper_level/network_system.owl#DirectedConnection,http://www.theworldavatar.com/ontology/meta_model/topology/topology.owl#Node,,,http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_system.owl
entersSegmentPart,Object Property,,,http://www.theworldavatar.com/ontology/meta_model/topology/topology.owl#DirectedArc,http://www.theworldavatar.com/ontology/ontocape/upper_level/network_system.owl#Device,,,http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_system.owl
hasSegmentPartOutput,Object Property,,,http://www.theworldavatar.com/ontology/ontocape/upper_level/network_system.owl#Device,http://www.theworldavatar.com/ontology/meta_model/topology/topology.owl#DirectedArc,,,http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_system.owl
