country,capacity_MW,primary_fuel,generation_technology,age,output_MWh,fuel_used
China,1200,bituminous,subcritical,10,6146662,coal
China,900,coal,subcritical,26,1489420,coal
Italy,785,natural_gas,CCGT,11,0,gas
United_Kingdom,140,natural_gas,OCGT,21,522767,gas
Republic_of_Korea,950,natural_gas,CCGT,3,749469,gas
Peru,173,natural_gas,OCGT,43,812538,gas
United_States,100,oil,Engine,18,35131,oil
United_Arab_Emirates,969,natural_gas,CCGT,12,2295871,gas
Spain,402,natural_gas,CCGT,7,962896,gas
Morocco,165,coal,subcritical,34,1029548,coal
United_States,100,natural_gas,OCGT,18,88243,gas
China,1200,anthracite,supercritical,21,6144295,coal
United_States,883,oil,subcritical,13,2041564,oil
France,1175,natural_gas,CCGT,47,744901,gas
Australia,305,natural_gas,OCGT,19,755661,gas
India,1200,bituminous,subcritical,5,0,coal
United_States,550,natural_gas,CCGT,15,548443,gas
Poland,125,bituminous,cogeneration,103,565348,coal
France,210,coal,subcritical,25,153660,coal
China,600,bituminous,subcritical,39,4574326,coal
Oman,1000,natural_gas,CCGT,9,0,gas
Greece,102,oil,Engine,20,0,oil
United_States,1200,natural_gas,CCGT,13,4358140,gas
Denmark,750,natural_gas,CCGT,43,1764947,gas
China,600,bituminous,subcritical,10,0,coal
Taiwan,480,natural_gas,CCGT,7,1841896,gas
Russia,435,natural_gas,CCGT,45,1664487,gas
United_States,122,natural_gas,CCGT,30,113315,gas
United_States,1567,bituminous,subcritical,32,5698110,coal
Uzbekistan,420,oil,subcritical,25,2202695,oil
