ID,Castle Name,Longitude,Latitude,Current Owner,Construction Date,Original Owner,Country,Castle Type,Structural Condition
85,Duntulm Castle,-6.3435203,57.6841043,Heritage Company A,1246,Una Frankel,Scotland,StoneKeep,Ruins
86,Dunvegan Castle & Gardens,-6.5900641,57.4484436,Private owner,887,Eva Joulwan,Scotland,StoneKeep,Destroyed
87,Edinburgh Castle,-3.1999242,55.9487329,Private owner,976,Mammie Dormanen,Scotland,MotteAndBailey,Intact
88,Eilean Donan Castle,-5.516167,57.2739853,Heritage Company A,1043,Jeannetta Coolidge,Scotland,StoneKeep,Intact
89,Glamis Castle,-3.002185,56.6220429,Heritage Company C,994,Elbert Drawe,Scotland,Concentric,Destroyed
90,Inverness Castle,-4.2255186,57.4763246,Heritage Company B,1012,Lenny Gazzola,Scotland,StoneKeep,Ruins
91,Inveraray Castle,-5.0735931,56.2376038,Heritage Company B,823,Mira Alpheaus,Scotland,StoneKeep,Intact
92,Scalloway Castle,-1.2739715,60.1357247,Heritage Company C,1228,Cathern Ungar,Scotland,RomanFort,Intact
93,Stirling Castle,-3.9455615,56.1230087,Heritage Company A,1247,Malcom Fleckles,Scotland,Concentric,Mostly Intact
94,Threave Castle,-3.9692947,54.9395822,Heritage Company A,1001,Monroe Damato,Scotland,RomanFort,Mostly Intact
95,Urquhart Castle,-4.4420012,57.3241399,Heritage Company B,1185,Leota Fletchen,Scotland,RomanFort,Mostly Intact
96,Beaumaris Castle,-4.0896991,53.2648348,Heritage Company C,982,Berry Gutoski,Wales,RomanFort,Mostly Intact
97,Caernarfon Castle,-4.2769297,53.1391389,Private owner,1066,Meghan Riherd,Wales,StoneKeep,Restored
98,Caerphilly Castle,-3.2202812,51.576229,Private owner,1227,Mike Torner,Wales,Concentric,Destroyed
99,Cardiff Castle,-3.1811767,51.4822313,Heritage Company B,886,Elsa Delisle,Wales,RomanFort,Intact
100,Cardigan Castle,-4.6611329,52.0817078,Heritage Company C,990,Linwood Rosenlof,Wales,MotteAndBailey,Ruins
101,Castell Coch,-3.2548184,51.5364445,Heritage Company A,847,Latosha Alexy,Wales,MotteAndBailey,Restored
102,Castell Dinas Br̢n,-3.1589076,52.9792461,Heritage Company B,905,Alexia Meenan,Wales,RomanFort,Ruins
103,Castell y Bere,-3.9707978,52.6585001,Private owner,1009,Graham Stanwick,Wales,Concentric,Mostly Intact
104,Chepstow Castle / Castell Cas-gwent,-2.6744593,51.6442576,Heritage Company B,1186,Elinore Fulda,Wales,StoneKeep,Mostly Intact
105,Chirk Castle,-3.089846,52.9350241,Heritage Company C,1155,Lisbeth Creecy,Wales,MotteAndBailey,Parts Intact
106,Cilgerran Castle,-4.6341703,52.0573189,Private owner,947,Eloisa Faurote,Wales,StoneKeep,Parts Intact
107,Conwy Castle,-3.8256293,53.2801809,Heritage Company A,889,Shawana Cantua,Wales,RomanFort,Restored
108,Cyfarthfa Castle,-3.3902547,51.7567982,Heritage Company C,815,Alyssa Ansbro,Wales,RomanFort,Destroyed
109,Dolbadarn Castle,-4.1141756,53.1167372,Heritage Company B,907,Kyoko Mcmillian,Wales,RomanFort,Parts Intact
110,Grosmont Castle,-2.8659859,51.9153395,Heritage Company A,1226,Terry Gauthier,Wales,Concentric,Restored
111,Harlech Castle,-4.1089336,52.860167,Heritage Company A,759,Sena Langenbach,Wales,MotteAndBailey,Ruins
112,Kidwelly Castle,-4.3057628,51.7396589,Private owner,1208,Cristen Nesset,Wales,MotteAndBailey,Destroyed
113,Raglan Castle,-2.8499297,51.770325,Heritage Company A,1102,Lashawn Ker,Wales,MotteAndBailey,Restored
114,Skenfrith Castle,-2.790366,51.878231,Heritage Company A,763,Wade Sovel,Wales,RomanFort,Parts Intact
115,White Castle,-2.9020654,51.8459563,Heritage Company C,1145,Whitney Tishler,Wales,Concentric,Restored
116,Carrickfergus Castle,-5.806324,54.7137146,Heritage Company A,1182,Deja Conatser,Northern Ireland,StoneKeep,Ruins
