Source,Type,Target,Relation,Domain,Range,Quantifier,Comment,Defined By,Label,,
ResponseLogistics,Class,,,,,,Planning and managing resources and actions during a landslide event.,http://www.theworldavatar.com/kg/ontolandslide,Response Logistics,,
MobilityAndEquipmentLogistics,Class,ResponseLogistics,IS-A,,,,Coordination of vehicles and equipment needed for landslide response.,http://www.theworldavatar.com/kg/ontolandslide,Mobility And Equipment Logistics,,
MedicalAndRescueLogistics,Class,ResponseLogistics,IS-A,,,,Organizing medical and rescue operations for landslide victims.,http://www.theworldavatar.com/kg/ontolandslide,Medical And Rescue Logistics,,
Resource Logistics,Class,ResponseLogistics,IS-A,,,,Allocation and transportation of necessary resources during a landslide event.,http://www.theworldavatar.com/kg/ontolandslide,Resource Logistics,,
Settlement,Class,ResponseDepartment,IS-A,,,,A populated area that may be affected by landslides.,http://www.theworldavatar.com/kg/ontolandslide,Settlement,,
Government,Class,ResponseDepartment,IS-A,,,,Represents governmental bodies involved in managing landslide risks and responses.,http://www.theworldavatar.com/kg/ontolandslide,Government,,
Community,Class,ResponseDepartment,IS-A,,,,A group of people residing in an area potentially affected by landslides.,http://www.theworldavatar.com/kg/ontolandslide,Community,,
MedicalCentre,Class,ResponseDepartment,IS-A,,,,Healthcare facilities that provide aid to individuals affected by landslides.,http://www.theworldavatar.com/kg/ontolandslide,Medical Centre,,
CausalFactor,Class,,IS-A,,,,"A factor that contributes to the occurrence of a landslide, either human or natural.",http://www.theworldavatar.com/kg/ontolandslide,Causal Factor,,
HumanFactor,Class,CausalFactor,IS-A,,,,Human activities or actions that can trigger or influence landslides.,http://www.theworldavatar.com/kg/ontolandslide,Human Factor,,
NaturalFactor,Class,CausalFactor,IS-A,,,,Natural occurrences like earthquakes or rainfall that contribute to landslide events.,http://www.theworldavatar.com/kg/ontolandslide,Natural Factor,,
SlopeExcavation,Class,HumanFactor,IS-A,,,,Human-induced slope modification that can increase landslide risk.,http://www.theworldavatar.com/kg/ontolandslide,Slope Excavation,,
VegetationDestruction,Class,HumanFactor,IS-A,,,,"The removal or destruction of vegetation, which can lead to landslides.",http://www.theworldavatar.com/kg/ontolandslide,Vegetation Destruction,,
Mining,Class,HumanFactor,IS-A,,,,"The process of extracting minerals from the earth, which can destabilize slopes.",http://www.theworldavatar.com/kg/ontolandslide,Mining,,
ReservoirStorage,Class,HumanFactor,IS-A,,,,"The accumulation of water in reservoirs, potentially causing landslides.",http://www.theworldavatar.com/kg/ontolandslide,Reservoir Storage,,
MeltingIceSnow,Class,NaturalFactor,IS-A,,,,"The melting of ice or snow, which can saturate soil and cause landslides.",http://www.theworldavatar.com/kg/ontolandslide,Melting Ice Snow,,
Earthquake,Class,NaturalFactor,IS-A,,,,Seismic activity that can trigger landslides due to ground shaking.,http://www.theworldavatar.com/kg/ontolandslide,Earthquake,,
Rainfall,Class,NaturalFactor,IS-A,,,,Precipitation that can saturate soils and increase the likelihood of landslides.,http://www.theworldavatar.com/kg/ontolandslide,Rainfall,,
RiverScouring,Class,NaturalFactor,IS-A,,,,"The erosion of riverbanks by flowing water, leading to slope instability.",http://www.theworldavatar.com/kg/ontolandslide,River Scouring,,
GeologicalFormation,Class,NaturalFactor,IS-A,,,,The underlying rock and soil structures that influence landslide susceptibility.,http://www.theworldavatar.com/kg/ontolandslide,Geological Formation,,
WarningSign,Class,,,,,,Indicators that signal the potential for an imminent landslide.,http://www.theworldavatar.com/kg/ontolandslide,Warning Sign,,
Person,Class,,,,,,Individuals affected by or responding to a landslide event.,http://www.theworldavatar.com/kg/ontolandslide,Person,,
Expert,Class,Person,IS-A,,,,Professionals with knowledge and expertise in landslide management and prediction.,http://www.theworldavatar.com/kg/ontolandslide,Expert,,
SocialMediaWorker,Class,Person,IS-A,,,,Individuals who spread information about landslides through social media platforms.,http://www.theworldavatar.com/kg/ontolandslide,Social Media Worker,,
Resident,Class,Person,IS-A,,,,A person living in an area at risk of landslides.,http://www.theworldavatar.com/kg/ontolandslide,Resident,,
BrokenUndergroundUtility,Class,WarningSign,IS-A,,,,A damaged underground utility line caused by or contributing to landslides.,http://www.theworldavatar.com/kg/ontolandslide,Broken Underground Utility,,
LeaningElectricPole,Class,WarningSign,IS-A,,,,"A tilted electric pole, often a sign of slope instability or landslide activity.",http://www.theworldavatar.com/kg/ontolandslide,Leaning Electric Pole,,
CrackOnWall,Class,WarningSign,IS-A,,,,A visible crack on a wall indicating possible ground movement or instability.,http://www.theworldavatar.com/kg/ontolandslide,Crack On Wall,,
CrackOnSideWalk,Class,WarningSign,IS-A,,,,"A crack on a sidewalk surface, often a precursor to more severe ground movement.",http://www.theworldavatar.com/kg/ontolandslide,Crack On Side Walk,,
LeaningTelephonePole,Class,WarningSign,IS-A,,,,A tilted telephone pole caused by ground movement or slope instability.,http://www.theworldavatar.com/kg/ontolandslide,Leaning Telephone Pole,,
CrackOnStreet,Class,WarningSign,IS-A,,,,"A crack forming on a street surface, indicating possible subsurface instability.",http://www.theworldavatar.com/kg/ontolandslide,Crack On Street,,
CrackOnBuilding,Class,WarningSign,IS-A,,,,"Structural cracks on a building, possibly caused by ground movement or a landslide.",http://www.theworldavatar.com/kg/ontolandslide,Crack On Building,,
BulgeOnGround,Class,WarningSign,IS-A,,,,A raised area of land indicating ground movement or subsurface pressure.,http://www.theworldavatar.com/kg/ontolandslide,Bulge On Ground,,
TapWaterColorChanged,Class,WarningSign,IS-A,,,,A sign of water contamination that may signal underground movement or landslides.,http://www.theworldavatar.com/kg/ontolandslide,Tap Water Color Changed,,
IncreaseInWaterLevel,Class,WarningSign,IS-A,,,,Rising water levels indicating possible landslide-triggering conditions.,http://www.theworldavatar.com/kg/ontolandslide,Increase In Water Level,,
LandslideSpot,Class,,,,,,A specific location identified as being prone to landslide activity.,http://www.theworldavatar.com/kg/ontolandslide,Landslide Spot,,
LandslideWarningHistory,Class,,,,,,A historical record of warnings issued for landslides in a given area.,http://www.theworldavatar.com/kg/ontolandslide,Landslide Warning History,,
Severity,Class,,,,,,The intensity or magnitude of a landslide event.,http://www.theworldavatar.com/kg/ontolandslide,Severity,,
LandslideAlert,Class,Severity,IS-A,,,,A notification or alert issued to warn of potential landslide occurrences.,http://www.theworldavatar.com/kg/ontolandslide,Landslide Alert,,
LandslideWarning,Class,Severity,IS-A,,,,A warning issued based on predictive models or observed conditions.,http://www.theworldavatar.com/kg/ontolandslide,Landslide Warning,,
SevereLandslideWarning,Class,Severity,IS-A,,,,A warning indicating an imminent and potentially devastating landslide.,http://www.theworldavatar.com/kg/ontolandslide,Severe Landslide Warning,,
InactiveLandslideWarning,Class,Severity,IS-A,,,,A warning issued for a past landslide event that is no longer active.,http://www.theworldavatar.com/kg/ontolandslide,Inactive Landslide Warning,,
Population,Class,,,,,,The group of people residing in an area that could be impacted by a landslide.,http://www.theworldavatar.com/kg/ontolandslide,Population,,
EnvironmentComponent,Class,,,,,,"Natural elements such as land, water, and air that can be affected by landslides.",http://www.theworldavatar.com/kg/ontolandslide,Environment Component,,
Crop,Class,EnvironmentComponent,IS-A,,,,Agricultural land that may be affected by landslide events.,http://www.theworldavatar.com/kg/ontolandslide,Crop,,
Land,Class,EnvironmentComponent,IS-A,,,,Geographical areas that may experience landslide-related events.,http://www.theworldavatar.com/kg/ontolandslide,Land,,
InfrastructureComponent,Class,,,,,,Man-made structures such as roads and buildings that can be damaged by landslides.,http://www.theworldavatar.com/kg/ontolandslide,Infrastructure Component,,
AreaInfrastructure,Class,InfrastructureComponent,IS-A,,,,Infrastructure within a specific geographical area affected by landslides.,http://www.theworldavatar.com/kg/ontolandslide,Area Infrastructure,,
CommercialInfrastructure,Class,AreaInfrastructure,IS-A,,,,Commercial buildings and businesses at risk from landslides.,http://www.theworldavatar.com/kg/ontolandslide,Commercial Infrastructure,,
ResidentialInfrastructure,Class,AreaInfrastructure,IS-A,,,,Residential buildings and homes affected by landslides.,http://www.theworldavatar.com/kg/ontolandslide,Residential Infrastructure,,
IndustrialInfrastructure,Class,AreaInfrastructure,IS-A,,,,Factories and industrial buildings at risk of landslides.,http://www.theworldavatar.com/kg/ontolandslide,Industrial Infrastructure,,
NetworkInfrastructure,Class,InfrastructureComponent,IS-A,,,,Communication and transportation networks affected by landslides.,http://www.theworldavatar.com/kg/ontolandslide,Network Infrastructure,,
MobilityNetwork,Class,NetworkInfrastructure,IS-A,,,,Transportation systems such as roads and railways impacted by landslides.,http://www.theworldavatar.com/kg/ontolandslide,Mobility Network,,
ProvisioningNetwork,Class,NetworkInfrastructure,IS-A,,,,Networks supplying resources like electricity and water that can be damaged by landslides.,http://www.theworldavatar.com/kg/ontolandslide,Provisioning Network,,
LandslideForecast,Class,,,,,,Predictions and models estimating the likelihood of future landslides.,http://www.theworldavatar.com/kg/ontolandslide,Landslide Forecast,,
DataSource,Class,,,,,,Sources of data used to inform landslide forecasting and monitoring.,http://www.theworldavatar.com/kg/ontolandslide,Data Source,,
DataService,Class,DataSource,IS-A,,,,A service that provides data relevant to landslide prediction and response.,http://www.theworldavatar.com/kg/ontolandslide,Data Service,,
HumanSensor,Class,DataSource,IS-A,,,,Human-reported data sources for landslide monitoring.,http://www.theworldavatar.com/kg/ontolandslide,Human Sensor,,
PhysicalSensor,Class,DataSource,IS-A,,,,Devices that measure environmental factors to detect landslide risks.,http://www.theworldavatar.com/kg/ontolandslide,Physical Sensor,,
InputParameter,Class,,,,,,Environmental or other factors used as inputs in landslide forecasting models.,http://www.theworldavatar.com/kg/ontolandslide,Input Parameter,,
WindSpeed,Class,InputParameter,IS-A,,,,"The speed of wind, which can influence landslide events.",http://www.theworldavatar.com/kg/ontolandslide,Wind Speed,,
Humidity,Class,InputParameter,IS-A,,,,"The moisture content in the air, which affects soil saturation and landslide risk.",http://www.theworldavatar.com/kg/ontolandslide,Humidity,,
AirPressure,Class,InputParameter,IS-A,,,,"Atmospheric pressure, an environmental parameter in landslide forecasting.",http://www.theworldavatar.com/kg/ontolandslide,Air Pressure,,
SoilMovement,Class,InputParameter,IS-A,,,,The movement of soil as part of landslide activity.,http://www.theworldavatar.com/kg/ontolandslide,Soil Movement,,
Rain ,Class,InputParameter,IS-A,,,,Precipitation that contributes to soil saturation and landslide triggering.,http://www.theworldavatar.com/kg/ontolandslide,Rain ,,
AirTemperature,Class,InputParameter,IS-A,,,,"Ambient temperature, which can affect conditions for landslides.",http://www.theworldavatar.com/kg/ontolandslide,Air Temperature,,
EarthQuakeMagnitude,Class,InputParameter,IS-A,,,,A measure of seismic activity that can trigger landslides.,http://www.theworldavatar.com/kg/ontolandslide,Earth Quake Magnitude,,
SeismicWave,Class,InputParameter,IS-A,,,,"Waves generated by earthquakes, which may destabilize slopes.",http://www.theworldavatar.com/kg/ontolandslide,Seismic Wave,,
hasLocation,Object Property,,,Event,Location,,Links an event to the geographic location where it occurred.,http://www.theworldavatar.com/kg/ontolandslide,has Location,,Links the event or object to its geographical location.
hasLandslideHistory,Object Property,,,Location,LandslideHistory,,Connects a location to its associated landslide history.,http://www.theworldavatar.com/kg/ontolandslide,has Landslide History,,
hasTimeSeries,Object Property,,,LandslideHistory,TimeSeries,,Associates landslide history with a time series of data points.,http://www.theworldavatar.com/kg/ontolandslide,has Time Series,,
hasShapeFile,Object Property,,,Location,ShapeFile,,Refers to the shapefile associated with a specific location.,http://www.theworldavatar.com/kg/ontolandslide,has Shape File,,Links an event or geographic feature to a shapefile used in geographic information systems (GIS).
hasGeometry,Object Property,,,Location,http://www.opengis.net/ont/geosparql#Geometry,,Indicates the geometric representation of a location.,http://www.theworldavatar.com/kg/ontolandslide,has Geometry,,
isProducedBy,Object Property,,,ShapeFile,Organization,,Identifies the organization that produced a shapefile.,http://www.theworldavatar.com/kg/ontolandslide,is Produced By,,"Identifies the organization or entity that created or produced a report, dataset, or analysis."
hasFileUrl,Object Property,,,ShapeFile,FileUrl,,Points to the URL of the shapefile.,http://www.theworldavatar.com/kg/ontolandslide,has File Url,,Provides a URL linking to a file or document related to the event or process.
hasTimeInterval,Object Property,,,Event,Interval,,Specifies the time interval during which an event occurred.,http://www.theworldavatar.com/kg/ontolandslide,has Time Interval,,Relates an event or phenomenon to a specific period or duration of time.
hasEnd,Object Property,,,Interval,Instant,,Defines the ending instant of an interval.,http://www.theworldavatar.com/kg/ontolandslide,has End,,Describes the ending point of an event or time-based process.
hasBeginning,Object Property,,,Interval,Instant,,Defines the starting instant of an interval.,http://www.theworldavatar.com/kg/ontolandslide,has Beginning,,Describes the starting point of an event or time-based process.
hasWaterContent,Object Property,,,Slope/Soil/GeologicalLayer,WaterContent,,Links a geological layer to its water content.,http://www.theworldavatar.com/kg/ontolandslide,has Water Content,,
occursOn,Object Property,,,Landslide,Slope/Soil/GeologicalLayer,,"Indicates the slope, soil, or geological layer on which a landslide occurs.",http://www.theworldavatar.com/kg/ontolandslide,occurs On,,
hasCausalFactor,Object Property,,,Event,CausalFactor,,Identifies the causal factor responsible for an event.,http://www.theworldavatar.com/kg/ontolandslide,has Causal Factor,,Identifies the cause or factor that led to the occurrence of an event.
hasResponse,Object Property,,,Landslide,Response,,Associates a landslide event with the response taken.,http://www.theworldavatar.com/kg/ontolandslide,has Response,,"Specifies the reaction or response given to an event, such as a wildfire."
actionTaken,Object Property,,,Response,ResponseAction,,Specifies the actions taken in response to a landslide.,http://www.theworldavatar.com/kg/ontolandslide,action Taken,,Describes the specific actions or measures undertaken in response to an event.
responseBy,Object Property,,,Response,ResponseDepartment,,Refers to the department responsible for the response.,http://www.theworldavatar.com/kg/ontolandslide,response By,,"Indicates the organization, government, or entity responsible for carrying out a response."
usedLogistics,Object Property,,,Response,ResponseLogistics,,Denotes the logistics used during the response to a landslide.,http://www.theworldavatar.com/kg/ontolandslide,used Logistics,,Refers to the logistical resources or infrastructure deployed during a response action.
affects,Object Property,,,Wildfire,EnvironmentComponent Union InfrastructureComponent Union Population,,"Indicates the components (environment, infrastructure, population) affected by an event like a wildfire or landslide.",http://www.theworldavatar.com/kg/ontolandslide,affects,,Links an event or process to the entities (such as populations or infrastructure) it influences or impacts.
managesForecastOf,Object Property,,,LandslideForecast,Landslide ,,Links a landslide forecast to the landslide it manages or predicts.,http://www.theworldavatar.com/kg/ontolandslide,manages Forecast Of,,
hasForecastLocation,Object Property,,,LandslideForecast,Location,,Specifies the location for which a landslide forecast is made.,http://www.theworldavatar.com/kg/ontolandslide,has Forecast Location,,
hasInputParameter,Object Property,,,LandslideForecast,InputParameter,,Identifies the input parameters used for landslide forecasting.,http://www.theworldavatar.com/kg/ontolandslide,has Input Parameter,,
hasDataSource,Object Property,,,InputParameter,DataSource,,Connects an input parameter to its data source.,http://www.theworldavatar.com/kg/ontolandslide,has Data Source,,
hasDataSourceMetadata,Object Property,,,DataSource,DataSourceMetadata,,Links a data source to its metadata.,http://www.theworldavatar.com/kg/ontolandslide,has Data Source Metadata,,
reportedBy,Object Property,,,WarningSign,Person,,Refers to the person who reported a warning sign.,http://www.theworldavatar.com/kg/ontolandslide,reported By,,
warnsAbout,Object Property,,,WarningSign,Landslide,,Indicates the landslide that the warning sign is about.,http://www.theworldavatar.com/kg/ontolandslide,warns About,,
hasSeverity,Object Property,,,WarningSign,Severity,,Links a warning sign to its severity level.,http://www.theworldavatar.com/kg/ontolandslide,has Severity,,
currentWarningSign,Object Property,,,LandslideSpot,WarningSign,,Associates a landslide spot with its current warning sign.,http://www.theworldavatar.com/kg/ontolandslide,current Warning Sign,,
hasWarningHistory,Object Property,,,LandslideSpot,LandslideWarningHistory,,Links a landslide spot to its warning history.,http://www.theworldavatar.com/kg/ontolandslide,has Warning History,,
hasWarningTimeSeries,Object Property,,,LandslideWarningHistory,TimeSeries,,Associates landslide warning history with a time series of warning data.,http://www.theworldavatar.com/kg/ontolandslide,has Warning Time Series,,
hasVelocity,Data Property,,,Landslide,float,,"Represents the speed at which the landslide moves, with the value being a float.",http://www.theworldavatar.com/kg/ontolandslide,has Velocity,,
hasLat,Data Property,,,Location,double,,"This property represents the latitude coordinate of a specific landslide location, expressed as a floating-point number.",http://www.theworldavatar.com/kg/ontolandslide,has Lat,,
hasLon,Data Property,,,Location,double,,"This property represents the longitude coordinate of a specific landslide location, expressed as a floating-point number.",http://www.theworldavatar.com/kg/ontolandslide,has Lon,,
lastUpdateOn,Data Property,,,ShapeFile,date time,,This property represents the timestamp of the most recent update related to the landslide situation.,http://www.theworldavatar.com/kg/ontolandslide,last Update On,,
hasTotalMonetaryValue,Data Property,,,InfrastructureComponent,float,,"This property represents the total financial loss or damage caused by the landslide, expressed as a monetary value.",http://www.theworldavatar.com/kg/ontolandslide,has Total Monetary Value,,
hasTotalAffected,Data Property,,,EnvironmentComponent Union InfrastructureComponent Union Population,integer,,"This property indicates the total number of people, animals, or assets affected by the landslide, measured as an integer value.",http://www.theworldavatar.com/kg/ontolandslide,has Total Affected,,
inDanger,Data Property,,,EnvironmentComponent Union InfrastructureComponent Union Population,integer,,This property indicates the number of people or assets currently at risk due to the landslide.,http://www.theworldavatar.com/kg/ontolandslide,in Danger,,
hasCollapsed,Data Property,,,InfrastructureComponent,integer,,"This property represents the number of infrastructure (e.g., buildings, bridges) has collapsed due to the landslide.",http://www.theworldavatar.com/kg/ontolandslide,has Collapsed,,
hasPartialDamage,Data Property,,,InfrastructureComponent,integer,,This property represents the number of infrastructure or assets have sustained partial damage from the landslide.,http://www.theworldavatar.com/kg/ontolandslide,has Partial Damage,,
hasLossOfLife,Data Property,,,Population,integer,,This property represents the total number of human lives lost due to the landslide.,http://www.theworldavatar.com/kg/ontolandslide,has Loss Of Life,,
hasEvacuated,Data Property,,,Population,integer,,This property indicates the number of people evacuated from the area due to the landslide.,http://www.theworldavatar.com/kg/ontolandslide,has Evacuated,,
